source_id,url,domain,source_family,source_type,trust_tier,linked_package_count,linked_packages,primary_topics,refresh_priority,notes
SRC-0020,https://developers.openai.com/api/docs/libraries,developers.openai.com,other_project_docs,api_reference,supporting_reference,1,openai,llm_client; v0.4-rag-ocr-llm-client,normal,
SRC-0021,https://docs.aiohttp.org/,docs.aiohttp.org,other_project_docs,documentation,official_or_project_docs,1,aiohttp,async_web_server; v0.7-comfyui-runtime-grounding,normal,
SRC-0022,https://docs.astral.sh/ruff/,docs.astral.sh,python_packaging_build_docs,documentation,official_or_project_docs,1,ruff,lint_format; v0.9-custom-node-training-web-deps,normal,
SRC-0023,https://docs.astral.sh/ruff/installation/,docs.astral.sh,python_packaging_build_docs,install_documentation,official_or_project_docs,1,ruff,lint_format; v0.9-custom-node-training-web-deps,high,
SRC-0024,https://docs.astral.sh/uv/,docs.astral.sh,python_packaging_build_docs,documentation,official_or_project_docs,1,uv,package_manager; v1.1-local-wheelhouse-native-build,normal,
SRC-0025,https://docs.flashinfer.ai/installation.html,docs.flashinfer.ai,other_project_docs,install_documentation,official_or_project_docs,3,flashinfer-cubin | flashinfer-jit-cache | flashinfer-python,llm_attention_kernel_binary_cache; llm_attention_kernel_library; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0026,https://docs.griptape.ai/stable/griptape-framework/,docs.griptape.ai,other_project_docs,documentation,official_or_project_docs,1,griptape,agent_framework; v0.9-custom-node-training-web-deps,normal,
SRC-0027,https://docs.lancedb.com/quickstart,docs.lancedb.com,other_project_docs,documentation,official_or_project_docs,1,lancedb,rag_vector_db; v0.4-rag-ocr-llm-client,normal,
SRC-0028,https://docs.langchain.com/,docs.langchain.com,other_project_docs,documentation,official_or_project_docs,0,,,normal,
SRC-0029,https://docs.langchain.com/oss/python/integrations/providers/overview,docs.langchain.com,other_project_docs,documentation,official_or_project_docs,1,langchain,rag_framework; v0.5-training-data-config-llm-framework,normal,
SRC-0030,https://docs.langchain.com/oss/python/langchain/install,docs.langchain.com,other_project_docs,install_documentation,official_or_project_docs,1,langchain,rag_framework; v0.5-training-data-config-llm-framework,high,
SRC-0031,https://docs.litellm.ai/docs/,docs.litellm.ai,llm_serving_docs,documentation,official_or_project_docs,1,litellm,llm_gateway_openai_router; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0032,https://docs.nomic.ai/atlas/python-api/generate-embeddings,docs.nomic.ai,other_project_docs,api_reference,official_or_project_docs,1,nomic,embeddings; v0.9-custom-node-training-web-deps,normal,
SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,19,nvidia-cublas-cu12 | nvidia-cuda-cccl-cu12 | nvidia-cuda-cupti-cu12 | nvidia-cuda-nvcc-cu12 | nvidia-cuda-nvrtc-cu12 | nvidia-cuda-runtime-cu12 | nvidia-cuda-runtime-cu13 | nvidia-cuda-sanitizer-api-cu12 | nvidia-cufft-cu12 | nvidia-curand-cu12 | nvidia-cusolver-cu12 | nvidia-cusparse-cu12 | nvidia-cutlass | nvidia-npp-cu12 | nvidia-nvjitlink-cu12 | nvidia-nvjpeg-cu12 | nvidia-nvml-dev-cu12 | nvidia-nvtx-cu12 | nvidia-pyindex,nvidia_math_lib; nvidia_profiling; nvidia_cuda_runtime; v1.2-deep-cpp-nvidia-cuda-wheel-builds,high,
SRC-0034,https://docs.nvidia.com/deeplearning/cudnn/backend/latest/api/overview.html,docs.nvidia.com,nvidia_cuda_inference_docs,api_reference,official_docs_primary,3,nvidia-cudnn-cu12 | nvidia-cudnn-jit-cu12 | nvidia-cudnn-jit-cu13,nvidia_cudnn_jit_runtime; nvidia_cudnn_backend_runtime; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0035,https://docs.nvidia.com/deeplearning/cudnn/frontend/latest/developer/overview.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,0,,,high,
SRC-0036,https://docs.nvidia.com/deeplearning/cudnn/frontend/latest/index.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,nvidia-cudnn-frontend,nvidia_cudnn_frontend_api; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0037,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/cpp-frontend-install.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,1,nvidia-cudnn-frontend,nvidia_cudnn_frontend_api; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0038,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/index.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,2,nvidia-cudnn | nvidia-cudnn-cu11,nvidia_cudnn_meta_package; nvidia_cudnn_backend_runtime_legacy; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0039,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/python-frontend-install.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,1,nvidia-cudnn-frontend,nvidia_cudnn_frontend_api; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0040,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/windows.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,4,nvidia-cudnn-cu12 | nvidia-cudnn-cu13 | nvidia-cudnn-jit-cu12 | nvidia-cudnn-jit-cu13,nvidia_cudnn_backend_runtime; nvidia_cudnn_jit_runtime; v1.3-cudnn-backend-frontend-toolkit-depth,high,
SRC-0041,https://docs.nvidia.com/deeplearning/tensorrt-rtx/latest/installing-tensorrt-rtx/installing.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,7,tensorrt-rtx | tensorrt-rtx-cu12 | tensorrt-rtx-cu12-bindings | tensorrt-rtx-cu12-libs | tensorrt-rtx-cu13 | tensorrt-rtx-cu13-bindings | tensorrt-rtx-cu13-libs,nvidia_tensorrt_rtx; nvidia_tensorrt_rtx_bindings; nvidia_tensorrt_rtx_libraries; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0042,https://docs.nvidia.com/deeplearning/tensorrt/latest/api/onnx-graphsurgeon-api.html,docs.nvidia.com,nvidia_cuda_inference_docs,api_reference,official_docs_primary,1,onnx-graphsurgeon,onnx_graph_rewriting; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0043,https://docs.nvidia.com/deeplearning/tensorrt/latest/api/polygraphy-api.html,docs.nvidia.com,nvidia_cuda_inference_docs,api_reference,official_docs_primary,1,polygraphy,model_debugging_accuracy_validation; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0044,https://docs.nvidia.com/deeplearning/tensorrt/latest/getting-started/support-matrix.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,4,tensorrt | tensorrt-cu11 | tensorrt-cu12 | tensorrt-cu13,nvidia_tensorrt_cuda_family_metapackage; nvidia_tensorrt_metapackage; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0045,https://docs.nvidia.com/deeplearning/tensorrt/latest/installing-tensorrt/installing.html,docs.nvidia.com,nvidia_cuda_inference_docs,install_documentation,official_docs_primary,4,tensorrt | tensorrt-cu11 | tensorrt-cu12 | tensorrt-cu13,nvidia_tensorrt_cuda_family_metapackage; nvidia_tensorrt_metapackage; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0046,https://docs.nvidia.com/deeplearning/triton-inference-server/,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,pytriton,triton_python_serving_wrapper; v1.5-triton-serving-deployment-depth,high,
SRC-0047,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/client/README.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,3,geventhttpclient | grpcio | tritonclient,http_client_transport; grpc_rpc_transport; nvidia_inference_server_client; v1.5-triton-serving-deployment-depth; v1.4-tensorrt-onnx-inference-depth + v1.5-triton-serving-deployment-depth,high,
SRC-0048,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/customization_guide/deploy.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,kubernetes,deployment_orchestration_client; v1.5-triton-serving-deployment-depth,high,
SRC-0049,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/index.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,0,,,high,
SRC-0050,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/model_navigator/README.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,triton-model-navigator,triton_model_optimization_deployment; v1.5-triton-serving-deployment-depth,high,
SRC-0051,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/python_backend/README.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,0,,,high,
SRC-0052,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/user_guide/metrics.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,prometheus-client,metrics_observability; v1.5-triton-serving-deployment-depth,high,
SRC-0053,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/user_guide/model_analyzer.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,triton-model-analyzer,triton_performance_analysis; v1.5-triton-serving-deployment-depth,high,
SRC-0054,https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/user_guide/model_repository.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,0,,,high,
SRC-0055,https://docs.nvidia.com/tensorrt-llm/index.html,docs.nvidia.com,nvidia_cuda_inference_docs,documentation,official_docs_primary,1,tensorrt-llm,nvidia_tensorrt_llm; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0056,https://docs.opencv.org/,docs.opencv.org,other_project_docs,documentation,official_or_project_docs,1,opencv-python,image_video_io; v0.3-image-restoration-face-segmentation,normal,
SRC-0057,https://docs.openwebui.com/,docs.openwebui.com,other_project_docs,documentation,official_or_project_docs,1,open-webui,llm_ui; v0.5-training-data-config-llm-framework,normal,
SRC-0058,https://docs.openwebui.com/getting-started/,docs.openwebui.com,other_project_docs,install_documentation,official_or_project_docs,1,open-webui,llm_ui; v0.5-training-data-config-llm-framework,normal,
SRC-0059,https://docs.pydantic.dev/latest/concepts/pydantic_settings/,docs.pydantic.dev,other_project_docs,documentation,official_or_project_docs,1,pydantic-settings,settings_config; v0.7-comfyui-runtime-grounding,normal,
SRC-0060,https://docs.pytest.org/en/stable/getting-started.html,docs.pytest.org,other_project_docs,install_documentation,official_or_project_docs,1,pytest,testing; v0.9-custom-node-training-web-deps,normal,
SRC-0061,https://docs.pytorch.org/TensorRT/,docs.pytorch.org,pytorch_docs,documentation,official_docs_primary,1,torch-tensorrt,pytorch_tensorrt_bridge; v1.4-tensorrt-onnx-inference-depth,high,
SRC-0062,https://docs.pytorch.org/docs/2.12/cpp_extension.html,docs.pytorch.org,pytorch_docs,documentation,official_docs_primary,0,,,high,
SRC-0063,https://docs.pytorch.org/tutorials/advanced/cpp_custom_ops.html,docs.pytorch.org,pytorch_docs,documentation,official_docs_primary,0,,,high,
SRC-0064,https://docs.pytorch.org/tutorials/beginner/introyt/tensorboardyt_tutorial.html,docs.pytorch.org,pytorch_docs,documentation,official_docs_primary,1,tensorboard,experiment_tracking; v0.9-custom-node-training-web-deps,high,
SRC-0065,https://docs.ray.io/en/latest/serve/llm/user-guides/vllm-compatibility.html,docs.ray.io,llm_serving_docs,documentation,official_or_project_docs,1,ray,distributed_serving_runtime; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0066,https://docs.scipy.org/doc/scipy/reference/,docs.scipy.org,other_project_docs,api_reference,official_or_project_docs,1,scipy,numeric; v0.5-training-data-config-llm-framework,normal,
SRC-0067,https://docs.sglang.ai/,docs.sglang.ai,llm_serving_docs,documentation,official_or_project_docs,0,,,high,
SRC-0068,https://docs.sglang.io/,docs.sglang.io,other_project_docs,documentation,official_or_project_docs,2,sgl-kernel | sglang,llm_serving_cuda_kernel_package; llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0069,https://docs.trychroma.com/docs/overview/getting-started,docs.trychroma.com,other_project_docs,install_documentation,official_or_project_docs,1,chromadb,rag_vector_db; v0.4-rag-ocr-llm-client,normal,
SRC-0070,https://docs.ultralytics.com/,docs.ultralytics.com,other_project_docs,documentation,official_or_project_docs,1,ultralytics,detection_segmentation; v0.3-image-restoration-face-segmentation,normal,
SRC-0071,https://docs.ultralytics.com/quickstart/,docs.ultralytics.com,other_project_docs,documentation,official_or_project_docs,1,ultralytics,detection_segmentation; v0.3-image-restoration-face-segmentation,normal,
SRC-0072,https://docs.ultralytics.com/usage/python/,docs.ultralytics.com,other_project_docs,documentation,official_or_project_docs,1,ultralytics,detection_segmentation; v0.3-image-restoration-face-segmentation,normal,
SRC-0073,https://docs.vllm.ai/en/latest/configuration/engine_args/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,vllm,llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0074,https://docs.vllm.ai/en/latest/features/quantization/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,5,auto-gptq | compressed-tensors | flashinfer-python | llmcompressor | torchao,llm_quantization_toolkit; llm_quantization_format; llm_attention_kernel_library; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0075,https://docs.vllm.ai/en/latest/features/quantization/gptqmodel/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,gptqmodel,llm_quantization_toolkit; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0076,https://docs.vllm.ai/en/latest/features/structured_outputs/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,4,guidance | lm-format-enforcer | outlines | xgrammar,structured_output_guided_decoding; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0077,https://docs.vllm.ai/en/latest/getting_started/quickstart/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,vllm,llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0078,https://docs.vllm.ai/en/latest/quantization/auto_awq.html,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,autoawq,llm_quantization_toolkit; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0079,https://docs.vllm.ai/en/latest/serving/openai_compatible_server/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,vllm,llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0080,https://docs.vllm.ai/en/stable/getting_started/installation/gpu/,docs.vllm.ai,llm_serving_docs,install_documentation,official_or_project_docs,2,flash-attn | vllm,attention_cuda_extension; llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0081,https://docs.vllm.ai/en/stable/usage/metrics/,docs.vllm.ai,llm_serving_docs,documentation,official_or_project_docs,1,vllm,llm_inference_server_engine; v1.6-llm-serving-openai-compatible-depth,high,
SRC-0082,https://docs.wandb.ai/models/quickstart,docs.wandb.ai,other_project_docs,documentation,official_or_project_docs,1,wandb,experiment_tracking; v0.9-custom-node-training-web-deps,normal,
SRC-0083,https://dottxt-ai.github.io/outlines/latest/,dottxt-ai.github.io,other_project_docs,web_reference,supporting_reference,1,outlines,structured_output_guided_decoding; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0084,https://einops.rocks/,einops.rocks,other_project_docs,web_reference,supporting_reference,1,einops,tensor_ops; v0.5-training-data-config-llm-framework,normal,
SRC-0085,https://einops.rocks/1-einops-basics/,einops.rocks,other_project_docs,web_reference,supporting_reference,1,einops,tensor_ops; v0.5-training-data-config-llm-framework,normal,
SRC-0086,https://fastapi.tiangolo.com/,fastapi.tiangolo.com,web_api_runtime_docs,web_reference,official_or_project_docs,1,anyio,async_runtime; v0.2-ui-api,normal,
SRC-0087,https://fastapi.tiangolo.com/deployment/manually/,fastapi.tiangolo.com,web_api_runtime_docs,web_reference,official_or_project_docs,2,fastapi | uvicorn,ui_backend_api; v0.2-ui-api,normal,
SRC-0088,https://fastapi.tiangolo.com/deployment/versions/,fastapi.tiangolo.com,web_api_runtime_docs,web_reference,official_or_project_docs,2,fastapi | starlette,ui_backend_api; v0.2-ui-api,normal,
SRC-0089,https://fastapi.tiangolo.com/tutorial/,fastapi.tiangolo.com,web_api_runtime_docs,web_reference,official_or_project_docs,1,fastapi,ui_backend_api; v0.2-ui-api,normal,
SRC-0090,https://ffmpeg.org/ffmpeg.html,ffmpeg.org,other_project_docs,web_reference,supporting_reference,1,ffmpeg-python,media_ffmpeg_graph; v0.6-media-video-audio-cli-build,normal,
SRC-0091,https://ftfy.readthedocs.io/,ftfy.readthedocs.io,project_documentation,documentation,project_docs_primary_or_near_primary,1,ftfy,text_processing; v0.5-training-data-config-llm-framework,normal,
SRC-0092,https://github.com/AutoGPTQ/AutoGPTQ,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,auto-gptq,llm_quantization_toolkit; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0093,https://github.com/Comfy-Org/ComfyUI/blob/master/manager_requirements.txt,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,comfyui_manager,comfyui_manager_runtime; v0.7-comfyui-runtime-grounding,normal,
SRC-0094,https://github.com/Comfy-Org/ComfyUI/blob/master/requirements.txt,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,17,PyOpenGL | SQLAlchemy | aiohttp | alembic | blake3 | comfy-aimdo | comfy-kitchen | comfyui-embedded-docs | comfyui-frontend-package | comfyui-workflow-templates | filelock | glfw | pydantic-settings | simpleeval | spandrel | torchsde | yarl,comfyui_core_runtime; async_web_server; opengl_display; v0.7-comfyui-runtime-grounding,normal,
SRC-0095,https://github.com/Dao-AILab/flash-attention,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,flash-attn,attention_cuda_extension; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0096,https://github.com/Fannovel16/comfyui_controlnet_aux,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,controlnet-aux,controlnet_preprocessor; v0.3-image-restoration-face-segmentation,normal,
SRC-0097,https://github.com/FlagOpen/FlagEmbedding,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,FlagEmbedding,embeddings; v0.9-custom-node-training-web-deps,normal,
SRC-0098,https://github.com/JaidedAI/EasyOCR,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,easyocr,ocr; v0.4-rag-ocr-llm-client,normal,
SRC-0099,https://github.com/MagicStack/httptools,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,httptools,asgi_http_parser_acceleration; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0100,https://github.com/MagicStack/uvloop,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,uvloop,asyncio_event_loop_acceleration; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0101,https://github.com/ModelCloud/GPTQModel,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,gptqmodel,llm_quantization_toolkit; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0102,https://github.com/TencentARC/GFPGAN,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,gfpgan,face_restore; v0.3-image-restoration-face-segmentation,normal,
SRC-0103,https://github.com/Textualize/rich,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,rich,cli_ui; v0.6-media-video-audio-cli-build,normal,
SRC-0104,https://github.com/XPixelGroup/BasicSR,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,basicsr,restoration_upscale; v0.3-image-restoration-face-segmentation,normal,
SRC-0105,https://github.com/Zulko/moviepy,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,moviepy,media_video_editing; v0.6-media-video-audio-cli-build,normal,
SRC-0106,https://github.com/abetlen/llama-cpp-python,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,llama-cpp-python,llm_runtime; v0.5-training-data-config-llm-framework,normal,
SRC-0107,https://github.com/adang1345/delvewheel,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,delvewheel,wheel_repair_tool; v1.1-local-wheelhouse-native-build,normal,
SRC-0108,https://github.com/casper-hansen/AutoAWQ,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,autoawq,llm_quantization_toolkit; v1.6-llm-serving-openai-compatible-depth,normal,
SRC-0109,https://github.com/chaiNNer-org/spandrel,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,spandrel,upscale_model_architecture; v0.7-comfyui-runtime-grounding,normal,
SRC-0110,https://github.com/comfy-org/ComfyUI,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,0,,,normal,
SRC-0111,https://github.com/comfyorg/comfyui-controlnet-aux,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,controlnet-aux,controlnet_preprocessor; v0.3-image-restoration-face-segmentation,normal,
SRC-0112,https://github.com/crowsonkb/k-diffusion,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,k-diffusion,sampler_backend; v0.9-custom-node-training-web-deps,normal,
SRC-0113,https://github.com/danielgatis/rembg,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,rembg,background_segmentation; v0.4-rag-ocr-llm-client,normal,
SRC-0114,https://github.com/deepinsight/insightface,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,insightface,face_swap_identity; v0.3-image-restoration-face-segmentation,normal,
SRC-0115,https://github.com/deepinsight/insightface/blob/master/python-package/README.md,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,0,,,normal,
SRC-0116,https://github.com/deepinsight/insightface/tree/master/python-package,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,insightface,face_swap_identity; v0.3-image-restoration-face-segmentation,normal,
SRC-0117,https://github.com/dmlc/decord,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,decord,media_video_loader; v0.6-media-video-audio-cli-build,normal,
SRC-0118,https://github.com/facebookresearch/faiss/blob/main/INSTALL.md,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,faiss-cpu,rag_vector_db; v0.4-rag-ocr-llm-client,high,
SRC-0119,https://github.com/facebookresearch/sam2,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,SAM-2 / editable sam2 repo,segmentation; v0.3-image-restoration-face-segmentation,normal,
SRC-0120,https://github.com/facebookresearch/sam2/blob/main/INSTALL.md,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,SAM-2 / editable sam2 repo,segmentation; v0.3-image-restoration-face-segmentation,high,
SRC-0121,https://github.com/facebookresearch/segment-anything,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,segment-anything,segmentation; v0.3-image-restoration-face-segmentation,normal,
SRC-0122,https://github.com/facebookresearch/xformers,github.com,github_repositories,source_repository,upstream_repo_or_release_primary_when_official,1,xformers,attention_backend; v0.2-core-runtime,normal,
