topic,source_claim,status,verification_basis,canonical_url,recommended_action
21_audio_speech_music_ai,Fish Audio S2 Pro supports 80+ languages and fine-grained prosody/emotion control,verified_model_card,"Hugging Face model card states 80+ languages, fine-grained inline prosody/emotion control, 10M+ hours training data, and SGLang streaming inference engine.",https://huggingface.co/fishaudio/s2-pro,Use as model-card anchor; mark benchmark claims as model-card claims.
21_audio_speech_music_ai,Kokoro-82M is lightweight open-weight TTS with 82M parameters,verified_model_card,Hugging Face model card states Kokoro is open-weight TTS with 82 million parameters and fast/cost-efficient framing.,https://huggingface.co/hexgrad/Kokoro-82M,Keep 82M claim; do not overstate edge latency without device-specific benchmark.
21_audio_speech_music_ai,Gradio/FastRTC real-time WebRTC audio/video streaming patterns,verified_official,Official Gradio guide describes real-time immersive audio+video demo with FastRTC and a Gradio WebRTC UI.,https://www.gradio.app/guides/create-immersive-demo,Replace generic Gradio docs URL with exact guide plus FastRTC repo/docs.
21_audio_speech_music_ai,Gradio streaming microphone/audio chunks into event handlers,verified_official,Official Gradio streaming inputs guide describes streaming images from camera or audio chunks from microphone into event handlers.,https://www.gradio.app/guides/streaming-inputs,Pin as audio streaming source.
22_vision_language_ocr_document_ai,Qwen3-VL-235B-A22B technical report and long multimodal context,verified_primary_with_date_correction,arXiv record verifies Qwen3-VL includes dense and MoE variants including 235B-A22B and native 256K interleaved multimodal context.,https://arxiv.org/abs/2511.21631,Correct bibliography wording from 2026 report to late-2025 report.
22_vision_language_ocr_document_ai,Qwen3-VL expanded OCR supports 32 languages,verified_model_card,"Qwen Hugging Face model card states expanded OCR supports 32 languages, up from 19.",https://huggingface.co/Qwen/Qwen3-VL-235B-A22B-Instruct,Use model card for 32-language OCR claim.
22_vision_language_ocr_document_ai,DeepSeek-OCR Contexts Optical Compression,verified_primary,"arXiv record verifies DeepSeek-OCR, Contexts Optical Compression, DeepEncoder and DeepSeek3B-MoE-A570M, compression ratios, OCR precision, and public code/model weights.",https://arxiv.org/abs/2510.18234,Keep as primary source.
22_vision_language_ocr_document_ai,DeepSeek-VL2 MoE active parameter variants,verified_primary_with_nuance,DeepSeek-VL2 paper/source verifies model family with different activated parameter sizes; use exact variant wording.,https://arxiv.org/abs/2412.10302,Avoid blanket “4.5B active” unless tied to the specific variant.
22_vision_language_ocr_document_ai,LlamaParse agentic layout-aware OCR for PDFs/scans/tables/charts into Markdown/text/JSON,verified_official,"Official LlamaParse docs describe agentic document parser, layout-aware OCR, PDFs/scans/tables/charts, and outputs to Markdown/text/JSON.",https://developers.llamaindex.ai/llamaparse/parse/,Keep as general LlamaParse source.
22_vision_language_ocr_document_ai,LlamaParse citation-ready legal/document extraction,verified_official_marketing,LlamaIndex service page describes citation-ready structured extraction and citations back to source for legal docs.,https://www.llamaindex.ai/services/ocr-for-legal-documents,"Use for citation-ready feature, not benchmark claims."
23_synthetic_data_dataset_creation,Confident AI / DeepEval synthetic data guide and 5-line generation claim,verified_industry,"Confident AI guide describes LLM synthetic data generation, data evolution, and DeepEval under-five-lines implementation framing.",https://www.confident-ai.com/blog/the-definitive-guide-to-synthetic-data-generation-using-llms,Keep as practical/industry guide; not academic ground truth.
23_synthetic_data_dataset_creation,"DeepEval Synthesizer supports document chunking, evolutions, QA of generated synthetic goldens",verified_official,"DeepEval guide lists customization of document chunking, managing golden complexity through evolutions, and QA for generated synthetic goldens.",https://deepeval.com/guides/guides-using-synthesizer,Pin as official tool source.
23_synthetic_data_dataset_creation,ACL tutorial Synthetic Data in the Era of LLMs,verified_primary_year_corrected,"ACL Anthology verifies tutorial title and describes algorithms, applications, and open problems; year is 2025, not 2026.",https://aclanthology.org/2025.acl-tutorials.7/,Correct source list year to ACL 2025.
23_synthetic_data_dataset_creation,30-70% of frontier model training data is synthetic,not_verified_as_hard_fact,"Search found support for synthetic data being important and one arXiv paper finding good ratios empirically converging near 30% for rephrased synthetic pretraining data, but not a primary source proving 30-70% frontier-wide usage.",,Reword as volatile industry estimate or replace with sourced narrower claims.
23_synthetic_data_dataset_creation,Synthetic data ratios may converge near 30% for some pretraining mixtures,verified_research_specific,Demystifying Synthetic Data in LLM Pre-training states good ratios depend on model size/data budget and empirically converge to ~30% for rephrased synthetic data.,https://arxiv.org/html/2510.01631v1,Use this narrower claim instead of 30-70% frontier training claim.
24_ai_application_architecture,RAGAS official evaluation framework for LLM applications,verified_official,Ragas docs describe systematic evaluation loops for AI/LLM applications and available metrics.,https://docs.ragas.io/en/stable/,Keep as RAGAS source.
24_ai_application_architecture,ARES automated evaluation framework for Atlas systems,verified_primary,"NAACL 2024 paper verifies ARES evaluates Atlas systems by context relevance, answer faithfulness, and answer relevance using synthetic data and lightweight LM judges.",https://aclanthology.org/2024.naacl-long.20/,Separate ARES from RAGAS in source list.
24_ai_application_architecture,LangSmith observability traces/production metrics for LLM apps,verified_official,LangSmith official docs describe full visibility from individual traces to production-wide metrics.,https://docs.langchain.com/langsmith/observability,Pin as LangSmith source.
24_ai_application_architecture,Arize Phoenix tracing/evaluation/troubleshooting for AI apps,verified_official,"Arize Phoenix docs describe traces capturing model calls, retrieval, tool use, custom logic, OpenTelemetry traces, and framework/provider support.",https://arize.com/docs/phoenix,Pin as Phoenix source.
24_ai_application_architecture,Helicone cost tracking / LLM observability,verified_official,Helicone official docs describe cost tracking and optimization across LLM providers.,https://docs.helicone.ai/guides/cookbooks/cost-tracking,Pin as Helicone source.
25_hardware_cost_performance_planning,Google TPU 8t/8i official announcement; 8i up to 80% perf/$ over Ironwood,verified_official,"Google official blog verifies eighth-gen TPUs, training/inference split, and 8i up to 80% performance-per-dollar over Ironwood.",https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/eighth-generation-tpu-agentic-era/,Keep as official announcement source.
25_hardware_cost_performance_planning,"TPU 8t/8i official technical details: HBM, SRAM, PFLOPs",verified_official,"Google Cloud technical deep dive table verifies TPU 8t/8i workloads, HBM capacity, on-chip SRAM 128MB/384MB, FP4 PFLOPs, and bandwidth.",https://cloud.google.com/blog/products/compute/tpu-8t-and-tpu-8i-technical-deep-dive,Correct prior secondary-only status; official SRAM source found.
25_hardware_cost_performance_planning,TPU 8t training price/performance is 2.8x,needs_correction,Official technical deep dive supports 2.7x in prior pass; do not use 2.8x unless a separate official source is pinned.,https://cloud.google.com/blog/products/compute/tpu-8t-and-tpu-8i-technical-deep-dive,Change 2.8x to 2.7x or “about 2.7x” in notes.
25_hardware_cost_performance_planning,Electricity is often 30-50% of inference TCO,not_verified_as_hard_fact,"Search found sources showing electricity is major and location-sensitive, but not a robust primary source for “often 30-50% of inference TCO.” Applied Digital says lease rates plus electricity exceed 80% of AI factory tenant opex, not electricity alone.",,Reword as “electricity and facility/lease costs can dominate operating expense; measure kWh and local power price” unless stronger TCO source is added.
25_hardware_cost_performance_planning,AI factory lease rates and electricity costs comprise over 80% of operating expenses,verified_industry_pdf,Applied Digital TCO white paper states lease rates and electricity costs comprise over 80% of total operating expenses for AI factory tenants.,https://go.applieddigital.com/hubfs/Applied%20Digital_TCO%20White%20Paper%20%281%29.pdf,Use as facility-cost source; do not conflate with electricity-only percentage.
