package_id,pip_name,doc_file,doc_quality,category,priority,windows_risk
PIP-0068,sentence-transformers,packages/sentence-transformers.md,full_card,embeddings,high,medium
PIP-0069,FlagEmbedding,packages/flagembedding.md,full_card,embeddings,medium,medium
PIP-0070,nomic,packages/nomic.md,full_card,embeddings,low,low
PIP-0071,llama-index,packages/llama-index.md,full_card,rag_framework,medium,medium
PIP-0072,langchain,packages/langchain.md,full_card,rag_framework,medium,medium
PIP-0073,griptape,packages/griptape.md,full_card,agent_framework,low,medium
PIP-0074,ollama,packages/ollama.md,full_card,llm_client,medium,low
PIP-0075,llama-cpp-python,packages/llama-cpp-python.md,full_card,llm_runtime,high,very_high
PIP-0076,packaging,packages/packaging.md,full_card,dev_runtime,medium,low
PIP-0077,rich,packages/rich.md,full_card,cli_ui,medium,low
PIP-0078,typer,packages/typer.md,full_card,cli_ui,medium,low
PIP-0079,GitPython,packages/gitpython.md,full_card,repo_tools,medium,low
PIP-0080,tomli,packages/tomli.md,full_card,config,low,low
PIP-0081,tomli-w,packages/tomli-w.md,full_card,config,low,low
PIP-0082,pytest,packages/pytest.md,full_card,testing,medium,low
PIP-0083,ruff,packages/ruff.md,full_card,lint_format,low,low
PIP-0084,black,packages/black.md,full_card,lint_format,low,low
PIP-0085,pyinstaller,packages/pyinstaller.md,full_card,packaging,low,medium
PIP-0086,faiss-cpu,packages/faiss-cpu.md,full_card,rag_vector_db,medium,high
PIP-0087,openai,packages/openai.md,full_card,llm_client,medium,low
PIP-0088,tiktoken,packages/tiktoken.md,full_card,text_tokenization,medium,medium
PIP-0089,spacy,packages/spacy.md,full_card,text_processing,medium,medium
PIP-0090,pytesseract,packages/pytesseract.md,full_card,ocr,medium,high
PIP-0091,easyocr,packages/easyocr.md,full_card,ocr,medium,high
PIP-0092,onnxruntime-directml,packages/onnxruntime-directml.md,full_card,inference_runtime,medium,high
PIP-0093,moviepy,packages/moviepy.md,full_card,media_video_editing,medium,medium
PIP-0094,librosa,packages/librosa.md,full_card,audio_analysis,medium,medium
PIP-0095,soundfile,packages/soundfile.md,full_card,audio_io,medium,medium
PIP-0096,matplotlib,packages/matplotlib.md,full_card,plotting_visualization,medium,low
PIP-0097,click,packages/click.md,full_card,cli_ui,medium,low
PIP-0098,setuptools,packages/setuptools.md,full_card,build_packaging,medium,medium
PIP-0099,wheel,packages/wheel.md,full_card,build_packaging,medium,low
PIP-0100,ninja,packages/ninja.md,full_card,native_build_tool,medium,medium
PIP-0101,pybind11,packages/pybind11.md,full_card,native_python_binding,medium,medium
PIP-0102,comfyui-frontend-package,packages/comfyui-frontend-package.md,full_card,comfyui_core_runtime,high,low
PIP-0103,comfyui-workflow-templates,packages/comfyui-workflow-templates.md,full_card,comfyui_core_runtime,medium,low
PIP-0104,comfyui-embedded-docs,packages/comfyui-embedded-docs.md,full_card,comfyui_core_runtime,medium,low
PIP-0105,torchsde,packages/torchsde.md,full_card,sampling_math,high,medium
PIP-0106,aiohttp,packages/aiohttp.md,full_card,async_web_server,high,medium
PIP-0107,yarl,packages/yarl.md,full_card,async_web_server,medium,low
PIP-0108,alembic,packages/alembic.md,full_card,database_migration,medium,low
PIP-0109,SQLAlchemy,packages/sqlalchemy.md,full_card,database_orm,medium,low
PIP-0110,filelock,packages/filelock.md,full_card,filesystem_locking,medium,low
PIP-0111,comfy-kitchen,packages/comfy-kitchen.md,full_card,comfyui_core_runtime,medium,low
PIP-0112,comfy-aimdo,packages/comfy-aimdo.md,full_card,comfyui_core_runtime,medium,low
PIP-0113,simpleeval,packages/simpleeval.md,full_card,safe_expression_eval,medium,low
PIP-0114,blake3,packages/blake3.md,full_card,hashing_integrity,medium,medium
PIP-0115,pydantic-settings,packages/pydantic-settings.md,full_card,settings_config,medium,low
PIP-0116,PyOpenGL,packages/pyopengl.md,full_card,opengl_display,low,medium
PIP-0117,glfw,packages/glfw.md,full_card,opengl_windowing,low,medium
PIP-0118,comfyui_manager,packages/comfyui-manager.md,full_card,comfyui_manager_runtime,high,medium
PIP-0119,mediapipe,packages/mediapipe.md,full_card,pose_face_hand_tracking,high,medium
PIP-0120,albumentations,packages/albumentations.md,full_card,training_augmentation,medium,medium
PIP-0121,supervision,packages/supervision.md,full_card,computer_vision_utils,medium,medium
PIP-0122,pycocotools,packages/pycocotools.md,full_card,dataset_eval_annotations,medium,medium
PIP-0123,groundingdino-py,packages/groundingdino-py.md,full_card,detection_segmentation,medium,very_high
PIP-0124,open-clip-torch,packages/open-clip-torch.md,full_card,vision_language_model,medium,medium
PIP-0125,clip-interrogator,packages/clip-interrogator.md,full_card,prompt_interrogation,medium,medium
PIP-0126,lpips,packages/lpips.md,full_card,image_quality_metric,medium,medium
PIP-0127,peft,packages/peft.md,full_card,training_lora_finetune,high,medium
PIP-0128,wandb,packages/wandb.md,full_card,experiment_tracking,medium,low
PIP-0129,tensorboard,packages/tensorboard.md,full_card,experiment_tracking,medium,low
PIP-0130,httpx,packages/httpx.md,full_card,http_client,medium,low
PIP-0131,websockets,packages/websockets.md,full_card,websocket_client_server,medium,low
PIP-0132,orjson,packages/orjson.md,full_card,json_serialization,medium,low
PIP-0133,watchdog,packages/watchdog.md,full_card,filesystem_watch,low,low
PIP-0134,build,packages/build.md,full_card,build_frontend,high,low
PIP-0135,pyproject-hooks,packages/pyproject-hooks.md,full_card,build_frontend,medium,low
PIP-0136,scikit-build-core,packages/scikit-build-core.md,full_card,native_build_backend,high,medium
PIP-0137,meson-python,packages/meson-python.md,full_card,native_build_backend,medium,medium
PIP-0138,maturin,packages/maturin.md,full_card,rust_build_backend,medium,medium
PIP-0139,setuptools-scm,packages/setuptools-scm.md,full_card,versioning_build_tool,medium,low
PIP-0140,cibuildwheel,packages/cibuildwheel.md,full_card,wheel_ci_builder,medium,medium
PIP-0141,auditwheel,packages/auditwheel.md,full_card,wheel_repair_tool,medium,low
PIP-0142,delvewheel,packages/delvewheel.md,full_card,wheel_repair_tool,high,medium
PIP-0143,pip-tools,packages/pip-tools.md,full_card,dependency_locking,medium,low
PIP-0144,pipdeptree,packages/pipdeptree.md,full_card,dependency_audit,medium,low
PIP-0145,uv,packages/uv.md,full_card,package_manager,medium,medium
PIP-0146,nvidia-pyindex,packages/nvidia-pyindex.md,full_card,nvidia_package_index,medium,low
PIP-0147,nvidia-cuda-runtime-cu12,packages/nvidia-cuda-runtime-cu12.md,full_card,nvidia_cuda_runtime,medium,medium
PIP-0148,nvidia-cuda-runtime-cu13,packages/nvidia-cuda-runtime-cu13.md,full_card,nvidia_cuda_runtime,high,high
PIP-0149,nvidia-cuda-nvcc-cu12,packages/nvidia-cuda-nvcc-cu12.md,full_card,nvidia_cuda_compiler,high,high
PIP-0150,nvidia-cuda-nvrtc-cu12,packages/nvidia-cuda-nvrtc-cu12.md,full_card,nvidia_cuda_runtime_compiler,medium,medium
PIP-0151,nvidia-nvjitlink-cu12,packages/nvidia-nvjitlink-cu12.md,full_card,nvidia_cuda_jit_linker,medium,medium
PIP-0152,nvidia-cublas-cu12,packages/nvidia-cublas-cu12.md,full_card,nvidia_math_lib,medium,medium
PIP-0153,nvidia-cudnn-cu12,packages/nvidia-cudnn-cu12.md,full_card,nvidia_cudnn_backend_runtime,critical,high
PIP-0154,nvidia-cudnn-cu13,packages/nvidia-cudnn-cu13.md,full_card,nvidia_cudnn_backend_runtime,high,very_high
PIP-0155,nvidia-cufft-cu12,packages/nvidia-cufft-cu12.md,full_card,nvidia_math_lib,medium,medium
PIP-0156,nvidia-curand-cu12,packages/nvidia-curand-cu12.md,full_card,nvidia_math_lib,medium,medium
PIP-0157,nvidia-cusolver-cu12,packages/nvidia-cusolver-cu12.md,full_card,nvidia_math_lib,medium,medium
PIP-0158,nvidia-cusparse-cu12,packages/nvidia-cusparse-cu12.md,full_card,nvidia_math_lib,medium,medium
PIP-0159,nvidia-npp-cu12,packages/nvidia-npp-cu12.md,full_card,nvidia_image_video_lib,medium,medium
PIP-0160,nvidia-nvjpeg-cu12,packages/nvidia-nvjpeg-cu12.md,full_card,nvidia_image_video_lib,medium,medium
PIP-0161,nvidia-nvtx-cu12,packages/nvidia-nvtx-cu12.md,full_card,nvidia_profiling,medium,low
PIP-0162,nvidia-cuda-cupti-cu12,packages/nvidia-cuda-cupti-cu12.md,full_card,nvidia_profiling,medium,medium
PIP-0163,nvidia-cuda-sanitizer-api-cu12,packages/nvidia-cuda-sanitizer-api-cu12.md,full_card,nvidia_diagnostics,medium,medium
PIP-0164,nvidia-nvml-dev-cu12,packages/nvidia-nvml-dev-cu12.md,full_card,nvidia_management,medium,low
PIP-0165,nvidia-cuda-cccl-cu12,packages/nvidia-cuda-cccl-cu12.md,full_card,nvidia_cuda_headers_templates,high,high
PIP-0166,nvidia-cutlass,packages/nvidia-cutlass.md,full_card,nvidia_cuda_templates,high,high
PIP-0167,nvidia-cudnn-cu11,packages/nvidia-cudnn-cu11.md,full_card,nvidia_cudnn_backend_runtime_legacy,medium,high
PIP-0168,nvidia-cudnn,packages/nvidia-cudnn.md,full_card,nvidia_cudnn_meta_package,medium,medium
PIP-0169,nvidia-cudnn-frontend,packages/nvidia-cudnn-frontend.md,full_card,nvidia_cudnn_frontend_api,high,high
PIP-0170,nvidia-cudnn-jit-cu12,packages/nvidia-cudnn-jit-cu12.md,full_card,nvidia_cudnn_jit_runtime,high,high
PIP-0171,nvidia-cudnn-jit-cu13,packages/nvidia-cudnn-jit-cu13.md,full_card,nvidia_cudnn_jit_runtime,medium,very_high
PIP-0172,cuda-python,packages/cuda-python.md,full_card,nvidia_cuda_python_api,high,medium
PIP-0173,cuda-toolkit,packages/cuda-toolkit.md,full_card,nvidia_cuda_toolkit_metapackage,high,high
PIP-0174,cuda-bindings,packages/cuda-bindings.md,full_card,nvidia_cuda_python_bindings,medium,medium
PIP-0175,cuda-core,packages/cuda-core.md,full_card,nvidia_cuda_python_core,medium,medium
PIP-0176,cuda-pathfinder,packages/cuda-pathfinder.md,full_card,nvidia_cuda_component_discovery,medium,medium
PIP-0177,tensorrt,packages/tensorrt.md,full_card,nvidia_tensorrt_metapackage,very_high,high
PIP-0178,tensorrt-cu11,packages/tensorrt-cu11.md,full_card,nvidia_tensorrt_cuda_family_metapackage,medium,high
PIP-0179,tensorrt-cu12,packages/tensorrt-cu12.md,full_card,nvidia_tensorrt_cuda_family_metapackage,very_high,high
PIP-0180,tensorrt-cu13,packages/tensorrt-cu13.md,full_card,nvidia_tensorrt_cuda_family_metapackage,very_high,very_high
PIP-0181,tensorrt-libs,packages/tensorrt-libs.md,full_card,nvidia_tensorrt_libraries,high,high
PIP-0182,tensorrt-cu12-bindings,packages/tensorrt-cu12-bindings.md,full_card,nvidia_tensorrt_python_bindings,high,high
PIP-0183,tensorrt-cu12-libs,packages/tensorrt-cu12-libs.md,full_card,nvidia_tensorrt_libraries,high,high
PIP-0184,tensorrt-cu13-bindings,packages/tensorrt-cu13-bindings.md,full_card,nvidia_tensorrt_python_bindings,high,very_high
PIP-0185,tensorrt-cu13-libs,packages/tensorrt-cu13-libs.md,full_card,nvidia_tensorrt_libraries,high,very_high
PIP-0186,tensorrt-lean,packages/tensorrt-lean.md,full_card,nvidia_tensorrt_lean_runtime,medium,high
PIP-0187,tensorrt-lean-cu12,packages/tensorrt-lean-cu12.md,full_card,nvidia_tensorrt_lean_runtime,medium,high
PIP-0188,tensorrt-lean-cu13,packages/tensorrt-lean-cu13.md,full_card,nvidia_tensorrt_lean_runtime,medium,very_high
PIP-0189,tensorrt-rtx,packages/tensorrt-rtx.md,full_card,nvidia_tensorrt_rtx,high,high
PIP-0190,tensorrt-rtx-cu12,packages/tensorrt-rtx-cu12.md,full_card,nvidia_tensorrt_rtx,high,high
PIP-0191,tensorrt-rtx-cu13,packages/tensorrt-rtx-cu13.md,full_card,nvidia_tensorrt_rtx,high,very_high
PIP-0192,tensorrt-rtx-cu12-bindings,packages/tensorrt-rtx-cu12-bindings.md,full_card,nvidia_tensorrt_rtx_bindings,medium,high
PIP-0193,tensorrt-rtx-cu12-libs,packages/tensorrt-rtx-cu12-libs.md,full_card,nvidia_tensorrt_rtx_libraries,medium,high
PIP-0194,tensorrt-rtx-cu13-bindings,packages/tensorrt-rtx-cu13-bindings.md,full_card,nvidia_tensorrt_rtx_bindings,medium,very_high
PIP-0195,tensorrt-rtx-cu13-libs,packages/tensorrt-rtx-cu13-libs.md,full_card,nvidia_tensorrt_rtx_libraries,medium,very_high
PIP-0196,tensorrt-llm,packages/tensorrt-llm.md,full_card,nvidia_tensorrt_llm,very_high,very_high
PIP-0197,torch-tensorrt,packages/torch-tensorrt.md,full_card,pytorch_tensorrt_bridge,high,very_high
PIP-0198,onnx-graphsurgeon,packages/onnx-graphsurgeon.md,full_card,onnx_graph_rewriting,high,medium
PIP-0199,polygraphy,packages/polygraphy.md,full_card,model_debugging_accuracy_validation,high,medium
PIP-0200,onnxslim,packages/onnxslim.md,full_card,onnx_graph_simplification,medium,medium
PIP-0201,nvidia-modelopt,packages/nvidia-modelopt.md,full_card,nvidia_model_optimization,medium,high
PIP-0202,tritonclient,packages/tritonclient.md,full_card,nvidia_inference_server_client,high,medium
PIP-0203,pytriton,packages/pytriton.md,full_card,triton_python_serving_wrapper,high,medium
PIP-0204,triton-model-analyzer,packages/triton-model-analyzer.md,full_card,triton_performance_analysis,high,high
PIP-0205,triton-model-navigator,packages/triton-model-navigator.md,full_card,triton_model_optimization_deployment,high,high
PIP-0206,prometheus-client,packages/prometheus-client.md,full_card,metrics_observability,medium,low
PIP-0207,grpcio,packages/grpcio.md,full_card,grpc_rpc_transport,high,medium
PIP-0208,grpcio-tools,packages/grpcio-tools.md,full_card,grpc_proto_build_tooling,medium,medium
PIP-0209,geventhttpclient,packages/geventhttpclient.md,full_card,http_client_transport,medium,medium
PIP-0210,nvidia-ml-py,packages/nvidia-ml-py.md,full_card,nvidia_gpu_telemetry,high,low
PIP-0211,kubernetes,packages/kubernetes.md,full_card,deployment_orchestration_client,low,low
PIP-0212,vllm,packages/vllm.md,full_card,llm_inference_server_engine,critical,very_high
PIP-0213,flash-attn,packages/flash_attn.md,full_card,attention_cuda_extension,high,very_high
PIP-0214,flashinfer-python,packages/flashinfer_python.md,full_card,llm_attention_kernel_library,high,very_high
PIP-0215,flashinfer-cubin,packages/flashinfer_cubin.md,full_card,llm_attention_kernel_binary_cache,medium,very_high
PIP-0216,flashinfer-jit-cache,packages/flashinfer_jit_cache.md,full_card,llm_attention_kernel_binary_cache,medium,very_high
PIP-0217,sglang,packages/sglang.md,full_card,llm_inference_server_engine,high,very_high
PIP-0218,sgl-kernel,packages/sgl_kernel.md,full_card,llm_serving_cuda_kernel_package,high,very_high
PIP-0219,text-generation,packages/text_generation.md,full_card,huggingface_tgi_client,medium,low
PIP-0220,litellm,packages/litellm.md,full_card,llm_gateway_openai_router,high,medium
PIP-0221,ray,packages/ray.md,full_card,distributed_serving_runtime,medium,high
PIP-0222,xgrammar,packages/xgrammar.md,full_card,structured_output_guided_decoding,high,high
PIP-0223,outlines,packages/outlines.md,full_card,structured_output_guided_decoding,medium,medium
PIP-0224,lm-format-enforcer,packages/lm_format_enforcer.md,full_card,structured_output_guided_decoding,medium,medium
PIP-0225,guidance,packages/guidance.md,full_card,structured_output_guided_decoding,medium,medium
PIP-0226,compressed-tensors,packages/compressed_tensors.md,full_card,llm_quantization_format,high,medium
PIP-0227,llmcompressor,packages/llmcompressor.md,full_card,llm_quantization_toolkit,high,high
PIP-0228,gptqmodel,packages/gptqmodel.md,full_card,llm_quantization_toolkit,high,very_high
PIP-0229,autoawq,packages/autoawq.md,full_card,llm_quantization_toolkit,medium,very_high
PIP-0230,auto-gptq,packages/auto_gptq.md,full_card,llm_quantization_toolkit,medium,very_high
PIP-0231,torchao,packages/torchao.md,full_card,pytorch_quantization_optimization,medium,high
PIP-0232,mistral-common,packages/mistral_common.md,full_card,model_family_tokenization_chat_templates,medium,medium
PIP-0233,msgspec,packages/msgspec.md,full_card,api_serialization_performance,medium,medium
PIP-0234,uvloop,packages/uvloop.md,full_card,asyncio_event_loop_acceleration,medium,high
PIP-0235,httptools,packages/httptools.md,full_card,asgi_http_parser_acceleration,medium,medium
PIP-0236,h11,packages/h11.md,full_card,python_http_protocol_core,low,low
PIP-0237,sse-starlette,packages/sse_starlette.md,full_card,server_sent_events_streaming,medium,low
PIP-0238,watchfiles,packages/watchfiles.md,full_card,dev_server_file_watch_reload,low,medium
PIP-0239,gguf,packages/gguf.md,full_card,llm_model_format_tooling,high,low
PIP-0240,exllamav2,packages/exllamav2.md,full_card,llm_runtime_quantized_loader,high,high
PIP-0241,lmstudio,packages/lmstudio.md,full_card,llm_client_sdk,medium,low
PIP-0242,tabbyAPI,packages/tabbyapi.md,full_card,llm_runtime_api_server,medium,high
PIP-0243,llama.cpp,packages/llama_cpp_runtime.md,full_card,llm_runtime_nonpip,high,high
PIP-0244,koboldcpp,packages/koboldcpp.md,full_card,llm_runtime_nonpip,medium,medium
PIP-0245,jinja2,packages/jinja2.md,full_card,template_engine,medium,low
PIP-0246,hf-transfer,packages/hf-transfer.md,full_card,model_download_acceleration,medium,medium
