priority,node_pack,repo_url,primary_aiwf_folder,why_cover_it,coverage_status,research_pass,resolved_repo_url,coverage_note
A,ComfyUI-HunyuanVideoWrapper,https://github.com/kijai/ComfyUI-HunyuanVideoWrapper,video_modern,Hunyuan video support; compare against Wan and LTX.,covered,PASS_02D,https://github.com/kijai/ComfyUI-HunyuanVideoWrapper,A-tier pack-level covered; many nodes remain mapping-only/schema-limited.
A,AnimateDiff Evolved,https://github.com/Kosinkadink/ComfyUI-AnimateDiff-Evolved,animation,"Still common for motion modules, prompt travel, legacy animation workflows.",covered,PASS_02D,https://github.com/Kosinkadink/ComfyUI-AnimateDiff-Evolved,A-tier pack-level covered by mapping sweep; module schema sweeps still needed.
A,ComfyUI-SUPIR,https://github.com/kijai/ComfyUI-SUPIR,image_advanced_upscale,High-quality restoration/upscale; needs sane settings and failure notes.,covered,PASS_02D,https://github.com/kijai/ComfyUI-SUPIR,A-tier pack-level covered; v2 core schema captured.
A,UltimateSDUpscale,https://github.com/ssitu/ComfyUI_UltimateSDUpscale,image_advanced_upscale,Classic tiled upscale approach; still useful and easier than SUPIR.,covered,PASS_02D,https://github.com/ssitu/ComfyUI_UltimateSDUpscale,A-tier pack-level covered; A1111 wrapper/state risk requires local test.
A,ComfyUI-GGUF,https://github.com/city96/ComfyUI-GGUF,flux_advanced / video_modern,Quantized model loading for Flux/DiT-style models; critical for 16GB/local workflows.,covered,PASS_02A,,
A,ComfyUI-nunchaku,https://github.com/mit-han-lab/ComfyUI-nunchaku,flux_advanced,SVDQuant/fast Flux inference; high current relevance for low-VRAM acceleration.,covered,PASS_02D,https://github.com/nunchaku-ai/ComfyUI-nunchaku,Resolved current accessible repo from original mit-han-lab entry to nunchaku-ai.
A,x-flux-comfyui,https://github.com/XLabs-AI/x-flux-comfyui,flux_advanced,"Flux LoRA and ControlNet patterns; may be partly superseded by native nodes, must verify.",covered,PASS_02D,https://github.com/XLabs-AI/x-flux-comfyui,A-tier pack-level covered; core loader/apply schemas captured.
A,ComfyUI-Fluxtapoz,https://github.com/logtd/ComfyUI-Fluxtapoz,flux_advanced / image_advanced_inpaint,"Flux editing, RF-Inversion style workflows; current Flux editing path.",covered,PASS_02D,https://github.com/logtd/ComfyUI-Fluxtapoz,A-tier pack-level covered by mapping sweep; schemas still need module sweep.
A,ComfyUI-FluxTrainer,https://github.com/kijai/ComfyUI-FluxTrainer,flux_advanced,Flux LoRA training from inside ComfyUI; optional but valuable for AIWF advanced labs.,covered,PASS_02D,https://github.com/kijai/ComfyUI-FluxTrainer,A-tier pack-level covered for training RAG; not inference workflow target.
B,ComfyUI-Custom-Scripts,https://github.com/pythongosssss/ComfyUI-Custom-Scripts,all folders,"UI enhancements, workflow quality-of-life, common installed pack.",covered,PASS_01,,
B,ComfyUI Easy Use,https://github.com/yolain/ComfyUI-Easy-Use,all folders,Integrated convenience nodes; common in shared workflows; needs red-node mapping.,covered,PASS_01,,
B,KJNodes for ComfyUI,https://github.com/kijai/ComfyUI-KJNodes,all folders,Utility/image/video helper nodes used across Kijai workflows.,covered,PASS_01,,
B,Use Everywhere (UE Nodes),https://github.com/chrisgoringe/cg-use-everywhere,all folders,Broadcast links reduce spaghetti; useful in master router workflows.,covered,PASS_01,,
B,ComfyUI Essentials,https://github.com/cubiq/ComfyUI_essentials,all folders,Missing basic utility functionality; likely appears in many modern workflows.,covered,PASS_01,,
B,Efficiency Nodes for ComfyUI Version 2.0+,https://github.com/jags111/efficiency-nodes-comfyui,all folders,Compact pipelines and older shared workflows; document fork vs retired original.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,WAS Node Suite Revised,https://github.com/ltdrdata/was-node-suite-comfyui,all folders,Huge utility/mask/text/image pack; common legacy workflows.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,MTB Nodes,https://github.com/melMass/comfy_mtb,all folders,"Crop/uncrop, bounding boxes, interpolation, color tools; common troubleshooting target.",covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,Comfyroll Studio,https://github.com/Suzie1/ComfyUI_Comfyroll_CustomNodes,all folders,"Switches, aspect ratio, LoRA, ControlNet helpers; common but needs version care.",covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,ComfyUI_tinyterraNodes,https://github.com/TinyTerra/ComfyUI_tinyterraNodes,all folders,"Pipe nodes, XYZ plotting, dynamic widgets; common shared-workflow dependency.",covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,ComfyUI Browser,https://github.com/talesofai/comfyui-browser,README / workflow management,Image/video/workflow browser and collections; useful for beginner asset management.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,ComfyUI Workspace Manager - Comfyspace,https://github.com/11cafe/comfyui-workspace-manager,README / workflow management,Project/workflow management; useful for AIWF workflow library users.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,ComfyUI-Copilot,https://github.com/AIDC-AI/ComfyUI-Copilot,README / AI assistant,Popular/trending assistant layer; evaluate before duplicating AIWF help overlay.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,Crystools,https://github.com/crystian/ComfyUI-Crystools,utility / diagnostics,"Resource monitor, progress/time, metadata compare, display values.",covered,PASS_01,,
B,ComfyUI-Image-Selector,https://github.com/SLAPaper/ComfyUI-Image-Selector,utility / all folders,Select images from batch; key for batch routers and comparison workflows.,covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,ImagesGrid,https://github.com/LEv145/images-grid-comfy-plugin,utility,"Grid comparison, X/Y-style review.",covered,PASS_02E,,B-tier pack-level coverage; exact schema depth varies by pack.
B,Save Image with Generation Metadata,https://github.com/giriss/comfy-image-saver,utility,Better metadata preservation; useful for AIWF repeatability.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,SD Prompt Reader,https://github.com/receyuki/comfyui-prompt-reader-node,utility,Metadata compatibility and reverse workflow inspection.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,DynamicPrompts Custom Nodes,https://github.com/adieyal/comfyui-dynamicprompts,utility / prompting,Random/combinatorial prompts and templates; useful for teaching variations.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,One Button Prompt,https://github.com/AIrjen/OneButtonPrompt,utility / prompting,Beginner prompt generation; optional AIWF beginner lab.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,SDXL Prompt Styler,https://github.com/twri/sdxl_prompt_styler,image_basics / prompting,Style templates for SDXL; common in older workflows.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,comfyui-prompt-composer,https://github.com/florestefano1975/comfyui-prompt-composer,prompting,Prompt sequencing and modular prompt assembly.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI Prompt Control,https://github.com/asagi4/comfyui-prompt-control,prompting,Prompt-editing primitives; advanced prompt workflows.,covered,PASS_02I,https://github.com/asagi4/comfyui-prompt-control,Resolved on retry; V3 ComfyExtension node list plus base/tools schemas captured.
B,comfyui-dynamicprompts,https://github.com/adieyal/comfyui-dynamicprompts,prompting,Wildcards/Jinja/combinatorial prompt systems.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,Quick Connections,https://github.com/niknah/quick-connections,UI,Link/connection quality of life; evaluate overlap with UE/rgthree.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,AIGODLIKE-ComfyUI-Studio,https://github.com/AIGODLIKE/AIGODLIKE-ComfyUI-Studio,UI / management,Model thumbnails and interactive management.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,AIGODLIKE-COMFYUI-TRANSLATION,https://github.com/AIGODLIKE/AIGODLIKE-COMFYUI-TRANSLATION,UI / localization,Language setting/translation; useful for broader distribution.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI-RMBG,https://github.com/1038lab/ComfyUI-RMBG,image_advanced_control / inpaint,RMBG/BEN/BiRefNet/SAM/GroundingDINO style background and object segmentation.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI-BiRefNet-Hugo,https://github.com/MoonHugo/ComfyUI-BiRefNet-Hugo,image_advanced_control,BiRefNet matting accuracy; useful replacement for older rembg workflows.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI_BiRefNet_ll,https://github.com/lldacing/ComfyUI_BiRefNet_ll,image_advanced_control,AutoDownloadBiRefNet / BiRefNet rembg path.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI-Inspyrenet-Rembg,https://github.com/john-mnz/ComfyUI-Inspyrenet-Rembg,image_advanced_control,InSPyReNet background removal/matting.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI-BRIA_AI-RMBG,https://github.com/ZHO-ZHO-ZHO/ComfyUI-BRIA_AI-RMBG,image_advanced_control,BRIA RMBG implementation; common alternative.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,CLIPSeg,https://github.com/time-river/ComfyUI-CLIPSeg,image_advanced_control,Text-driven binary mask generation; lightweight semantic masking.,covered_alternate,PASS_02I,https://github.com/chaoqun789/ComfyUI-CLIPSeg,Original time-river repo still awkward through fetch/search; equivalent CLIPSeg node implementation captured via chaoqun789 fork/clone.
B,Masquerade Nodes,https://github.com/BadCafeCode/masquerade-nodes-comfyui,image_advanced_control,Low-dependency mask tools; document when to prefer Impact instead.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,a-person-mask-generator,https://github.com/djbielejeski/a-person-mask-generator,image_advanced_control / face,Person part masks: background/hair/body/face/clothes.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI YoloWorld-EfficientSAM,https://github.com/ZHO-ZHO-ZHO/ComfyUI-YoloWorld-EfficientSAM,image_advanced_control,YOLO-World + EfficientSAM semantic/object mask workflows.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI SAM2(Segment Anything 2),https://github.com/neverbiasu/ComfyUI-SAM2,image_advanced_control,Alternative SAM2 implementation; compare to Kijai SAM2.,covered,PASS_02F,,light coverage; dense only if selected for workflow generation or first-choice capability
B,ComfyUI-ProPainter Nodes,https://github.com/daniabib/ComfyUI_ProPainter_Nodes,video_modern / inpaint,Video inpainting; important for removing/replacing objects in footage.,covered_light,PASS_02G,https://github.com/daniabib/ComfyUI_ProPainter_Nodes,Temporal video inpaint/outpaint; dense follow-up recommended.
B,ComfyUI-Video-Matting,https://github.com/Fannovel16/ComfyUI-Video-Matting,video_modern,Robust Video Matting integration.,covered,PASS_02I,https://github.com/Fannovel16/ComfyUI-Video-Matting,Expanded from mapping-only to schema-confirmed Robust Video Matting + BRIAAI Matting.
B,ComfyUI-LayerStyle,https://github.com/chflame163/ComfyUI_LayerStyle,inpaint / compositing,Photoshop-like layer/mask/image operations; common in workflows.,covered_light,PASS_02G,https://github.com/chflame163/ComfyUI_LayerStyle,Large LayerStyle module family mapped lightly.
B,ComfyUI_LayerStyle_Advance,https://github.com/chflame163/ComfyUI_LayerStyle_Advance,inpaint / compositing,Advanced LayerStyle nodes with heavier dependencies.,covered_light,PASS_02G,https://github.com/chflame163/ComfyUI_LayerStyle_Advance,Large advanced LayerStyle/VLM/segmentation module family mapped lightly.
B,Comfyui-LayerForge,https://github.com/Azornes/Comfyui-LayerForge,inpaint / compositing,New layered canvas editor; evaluate for AIWF user-facing workflows.,covered_light,PASS_02G,https://github.com/Azornes/Comfyui-LayerForge,Pack-level coverage only.
B,Canvas Tab,https://github.com/Lerc/canvas_tab,inpaint / compositing,Full-page image editor with mask support; possible beginner-friendly inpaint UI.,covered_light,PASS_02G,https://github.com/Lerc/canvas_tab,UI extension coverage only.
B,comfyui-enricos-nodes,https://github.com/erosDiffusion/ComfyUI-enricos-nodes,compositing,Visual placement/rotation/scaling of multiple images.,covered_light,PASS_02G,https://github.com/erosDiffusion/ComfyUI-enricos-nodes,Utility pack-level coverage only.
B,ComfyUI AdvancedLivePortrait,https://github.com/PowerHouseMan/ComfyUI-AdvancedLivePortrait,image_face_restore / animation,Expression editor and portrait animation.,covered_light,PASS_02G,https://github.com/PowerHouseMan/ComfyUI-AdvancedLivePortrait,LivePortrait variant mapped lightly.
B,ComfyUI-LivePortraitKJ,https://github.com/kijai/ComfyUI-LivePortraitKJ,image_face_restore / animation,Kijai LivePortrait implementation; likely better maintained in Kijai ecosystem.,covered_light,PASS_02G,https://github.com/kijai/ComfyUI-LivePortraitKJ,KJ LivePortrait key schemas sampled.
B,comfyui-liveportrait,https://github.com/shadowcz007/comfyui-liveportrait,animation / face,Alternate LivePortrait implementation; compare before using.,needs_retry_or_stale_repo,PASS_02I_RETRY,,Retried with repository search; listed shadowcz007 path still did not resolve. Prefer Kijai LivePortraitKJ or AdvancedLivePortrait coverage.
B,ComfyUI_InstantID,https://github.com/cubiq/ComfyUI_InstantID,image_face_restore / ipadapter,Native InstantID support; useful identity control alternative.,covered_light,PASS_02G,https://github.com/cubiq/ComfyUI_InstantID,Core InstantID schemas sampled.
B,ComfyUI-InstantID,https://github.com/ZHO-ZHO-ZHO/ComfyUI-InstantID,image_face_restore,Unofficial InstantID implementation; common older workflows.,covered_light,PASS_02G,https://github.com/ZHO-ZHO-ZHO/ComfyUI-InstantID,Alternate InstantID mapped lightly.
B,comfyui-instantId-faceswap,https://github.com/nosiu/comfyui-instantId-faceswap,image_face_restore,InstantID-based faceswap approach.,covered_light,PASS_02G,https://github.com/nosiu/comfyui-instantId-faceswap,InstantID faceswap mapped lightly.
B,PuLID_ComfyUI,https://github.com/cubiq/PuLID_ComfyUI,image_face_restore,Identity preservation; native PuLID implementation.,covered_light,PASS_02G,https://github.com/cubiq/PuLID_ComfyUI,PuLID mapped lightly.
B,ComfyUI_PuLID_Flux_ll,https://github.com/lldacing/ComfyUI_PuLID_Flux_ll,flux_advanced / face,PuLID-Flux implementation; important for Flux identity workflows.,covered_light,PASS_02G,https://github.com/lldacing/ComfyUI_PuLID_Flux_ll,Flux PuLID mapped lightly; dense follow-up recommended.
B,ComfyUI-PuLID-Flux-Enhanced,https://github.com/sipie800/ComfyUI-PuLID-Flux-Enhanced,flux_advanced / face,Enhanced/forked PuLID Flux path; compare actively.,covered_light,PASS_02G,https://github.com/sipie800/ComfyUI-PuLID-Flux-Enhanced,Enhanced Flux PuLID mapped lightly; dense follow-up recommended.
B,ComfyUI-IPAdapter-Flux,https://github.com/Shakker-Labs/ComfyUI-IPAdapter-Flux,flux_advanced / ipadapter,Flux IPAdapter nodes; very relevant to Flux identity/style workflows.,covered_light,PASS_02G,https://github.com/Shakker-Labs/ComfyUI-IPAdapter-Flux,Flux IPAdapter mapped lightly; dense follow-up recommended.
B,ComfyUI PhotoMaker Plus,https://github.com/shiimizu/ComfyUI-PhotoMaker-Plus,image_face_restore,PhotoMaker reference implementation.,covered_light,PASS_02G,https://github.com/shiimizu/ComfyUI-PhotoMaker-Plus,PhotoMaker Plus mapped lightly.
B,ComfyUI PhotoMaker (ZHO),https://github.com/ZHO-ZHO-ZHO/ComfyUI-PhotoMaker-ZHO,image_face_restore,Common unofficial PhotoMaker workflows.,covered_light,PASS_02G,https://github.com/ZHO-ZHO-ZHO/ComfyUI-PhotoMaker-ZHO,PhotoMaker ZHO mapped lightly.
B,Face Analysis for ComfyUI,https://github.com/cubiq/ComfyUI_FaceAnalysis,image_face_restore,Face similarity metrics; useful for QA/VQA validation of identity.,covered_light,PASS_02G,https://github.com/cubiq/ComfyUI_FaceAnalysis,FaceAnalysis mapped lightly.
B,FUSE Face Enhancer,https://github.com/WASasquatch/face-upscaling-and-seamless-embedding,image_face_restore,All-in-one face fix KSampler using YOLO/SAM.,covered_light,PASS_02H,https://github.com/WASasquatch/face-upscaling-and-seamless-embedding,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,DZ-FaceDetailer,https://github.com/nicofdga/DZ-FaceDetailer,image_face_restore,Face detailer inspired by ADetailer; alternative to Impact detailer.,covered_light,PASS_02H,https://github.com/nicofdga/DZ-FaceDetailer,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,Facerestore CF,https://github.com/mav-rik/facerestore_cf,image_face_restore,CodeFormer fidelity face restoration; A1111-like face restore parity.,covered_light,PASS_02H,https://github.com/mav-rik/facerestore_cf,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-Portrait-Maker,https://github.com/THtianhao/ComfyUI-Portrait-Maker,image_face_restore,"RetainFace, FaceFusion, portrait enhancement/retouching nodes.",covered_light,PASS_02H,https://github.com/THtianhao/ComfyUI-Portrait-Maker,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-InfiniteYou,https://github.com/bytedance/ComfyUI_InfiniteYou,image_face_restore,Official InfiniteYou identity preservation; evaluate current model requirements.,covered,PASS_02I,https://github.com/bytedance/ComfyUI_InfiniteYou,"Expanded from mapping-only to schema-confirmed loader, embedding, pose, InfuseNet load/apply nodes."
B,ComfyUI-HyperLoRA,https://github.com/bytedance/ComfyUI-HyperLoRA,image_face_restore,Portrait synthesis adaptation; specialized but modern.,covered,PASS_02I,https://github.com/bytedance/ComfyUI-HyperLoRA,Expanded from mapping-only to schema-confirmed HyperLoRA config/load/condition/generate/apply/save node family.
B,comfyui-portrait-master,https://github.com/florestefano1975/comfyui-portrait-master,prompting / portrait,Portrait prompt-generation node.,covered_light,PASS_02H,https://github.com/florestefano1975/comfyui-portrait-master,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,comfyui-portrait-master-zh-cn,https://github.com/ZHO-ZHO-ZHO/comfyui-portrait-master-zh-cn,prompting / portrait,Chinese localized portrait-master variant; common in shared workflows.,needs_retry_or_stale_repo,PASS_02I_RETRY,,Retried with repository search; listed ZHO-ZHO-ZHO zh-cn repo did not resolve. Base Portrait Master remains covered_light.
B,Tiled Diffusion & VAE for ComfyUI,https://github.com/shiimizu/ComfyUI-TiledDiffusion,image_advanced_upscale,Limited-VRAM large-image rendering/upscaling.,covered_light,PASS_02H,https://github.com/shiimizu/ComfyUI-TiledDiffusion,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,Tiled sampling for ComfyUI,https://github.com/BlenderNeko/ComfyUI_TiledKSampler,image_advanced_upscale,Tiled sampler to denoise large images with fewer seams.,covered_light,PASS_02H,https://github.com/BlenderNeko/ComfyUI_TiledKSampler,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-CCSR,https://github.com/kijai/ComfyUI-CCSR,image_advanced_upscale,CCSR restoration/upscale.,covered,PASS_02H,https://github.com/kijai/ComfyUI-CCSR,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-APISR,https://github.com/ZHO-ZHO-ZHO/ComfyUI-APISR,image_advanced_upscale / video_modern,APISR image/video upscaling.,covered_light,PASS_02H,https://github.com/ZHO-ZHO-ZHO/ComfyUI-APISR,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-SeedVR2_VideoUpscaler,https://github.com/numz/ComfyUI-SeedVR2_VideoUpscaler,video_modern / upscale,Modern video upscaling.,covered_alternate,PASS_02I,https://github.com/stavzszn/ComfyUI-SeedVR2_VideoUpscaler,Original numz path did not resolve; active official-style SeedVR2 V3 extension captured through stavzszn repo.
B,ComfyUI InvSR,https://github.com/yuvraj108c/ComfyUI_InvSR,image_advanced_upscale,Diffusion inversion super-resolution.,covered_light,PASS_02H,https://github.com/yuvraj108c/ComfyUI_InvSR,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI Neural Network Latent Upscale,https://github.com/Ttl/ComfyUi_NNLatentUpscale,image_advanced_upscale,Fast latent upscaling without VAE decode/re-encode.,covered_light,PASS_02H,https://github.com/Ttl/ComfyUi_NNLatentUpscale,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,SD-Latent-Upscaler,https://github.com/city96/SD-Latent-Upscaler,image_advanced_upscale,City96 latent upscaler; compare to stock latent upscale.,covered_light,PASS_02H,https://github.com/city96/SD-Latent-Upscaler,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,Latent-Interposer,https://github.com/city96/SD-Latent-Interposer,image_advanced_upscale / interop,Convert latents between SDXL and SD1.5 without VAE roundtrip.,covered_light,PASS_02H,https://github.com/city96/SD-Latent-Interposer,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI Flowty LDSR,https://github.com/flowtyone/ComfyUI-Flowty-LDSR,image_advanced_upscale,LDSR support.,covered_light,PASS_02H,https://github.com/flowtyone/ComfyUI-Flowty-LDSR,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,AuraSR-ComfyUI,https://github.com/GreenLandisaLie/AuraSR-ComfyUI,image_advanced_upscale,AuraSR upscaler implementation.,covered_light,PASS_02H,https://github.com/GreenLandisaLie/AuraSR-ComfyUI,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,Comfy-Topaz,https://github.com/choey/Comfy-Topaz,image_advanced_upscale,Topaz Photo AI integration; external-commercial bridge.,covered_light,PASS_02H,https://github.com/choey/Comfy-Topaz,Pass 02H light coverage; dense only where first-of-type/high-risk.
B,ComfyUI-TopazVideoAI,https://github.com/sh570655308/ComfyUI-TopazVideoAI,video_modern / upscale,Topaz Video AI integration.,covered_light,PASS_02L,,External Topaz app bridge; schema confirmed for main node and params helper.
B,ComfyUI Bringing Old Photos Back to Life,https://github.com/cdb-boop/ComfyUI-Bringing-Old-Photos-Back-to-Life,image_advanced_upscale / restoration,"Old photo restoration, scratch removal, face enhancement.",covered_light_needs_dense,PASS_02L,,Mapping confirmed and key restoration schemas sampled; dense pass needed before workflow JSON.
B,ComfyUI_InstantIR_Wrapper,https://github.com/smthemex/ComfyUI_InstantIR_Wrapper,restoration,Blind image restoration with reference-like generation.,covered_light,PASS_02L,,Loader and sampler schema-confirmed; model-heavy restoration comparison path.
B,HandFixer,https://github.com/Xiangyu-CAS/HandFixer,image_advanced_inpaint / flux_advanced,FLUX/FLUX-Fill hand correction workflow.,needs_retry_or_stale_repo,PASS_02L_RETRY,,Repo did not resolve in GitHub repository search; keep as hand-fix capability gap.
B,ComfyUI-Detail-Daemon,https://github.com/Jonseed/ComfyUI-Detail-Daemon,image_advanced_upscale / quality,Detail/sigma adjustment; advanced detail control.,covered_light,PASS_02L,,Sampler/sigma control nodes schema-confirmed; advanced/local-test only.
B,ComfyUI Frame Interpolation,https://github.com/Fannovel16/ComfyUI-Frame-Interpolation,video_modern / animation,Frame interpolation; useful after generation.,covered_light,PASS_02L,,"Pack mapping confirmed; many VFI backends, dense only for chosen default backend."
B,ComfyUI-GIMM-VFI,https://github.com/kijai/ComfyUI-GIMM-VFI,video_modern,Modern frame interpolation alternative.,covered_light,PASS_02L,,Loader and interpolate nodes schema-confirmed; modern VFI candidate.
B,ComfyUI-fastblend,https://github.com/AInseven/ComfyUI-fastblend,video_modern,"Video2video helper, rebatching, blending.",needs_retry_or_stale_repo,PASS_02L_RETRY,,Repo did not resolve in GitHub repository search.
B,ComfyUI-DynamiCrafterWrapper,https://github.com/kijai/ComfyUI-DynamiCrafterWrapper,video_modern,Image-to-video / frame interpolation model wrapper; older but useful.,covered_light,PASS_02L,,Loader and I2V sampled schemas; legacy video comparison path.
B,ComfyUI-CogVideoXWrapper,https://github.com/kijai/ComfyUI-CogVideoXWrapper,video_modern,CogVideoX models.,covered_light,PASS_02L,,Wrapper mapping plus sampled CogVideo text/image/context/helper schemas.
B,ComfyUI-PyramidFlowWrapper,https://github.com/kijai/ComfyUI-PyramidFlowWrapper,video_modern,PyramidFlow video model support.,covered_light,PASS_02L,,Model/VAE/sampler schemas sampled; large alternate video model wrapper.
B,ComfyUI-Ruyi,https://github.com/IamCreateAI/Ruyi-Models,video_modern,Ruyi image-to-video support.,remaining,,,
B,VideoX-Fun,https://github.com/aigc-apps/VideoX-Fun,video_modern,Image/video generation and LoRA training for video.,remaining,,,
B,EasyAnimate,https://github.com/aigc-apps/EasyAnimate,video_modern,T2V/I2V/V2V controls.,remaining,,,
B,ComfyUI-RH_FramePack,https://github.com/HM-RunningHub/ComfyUI_RH_FramePack,video_modern,FramePack support; evaluate current relevance.,covered_light,PASS_02L,,FramePack schema sampled; high relevance but hardcoded/local-test heavy.
