lane_id,title,freshness_class,web_verification_required_for_current_claims,source_layer_hint,profile_path,canonical_overview_path,retrieval_cards_path
11_gradio_ui_research,Gradio Ui Research,fast_moving,true,03_SOURCE_CONTENT/B_RAW_PROVENANCE_ARCHIVES,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/lane_profile.json,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/11_gradio_ui_research/RETRIEVAL_CARDS.jsonl
12_llm_fundamentals,Llm Fundamentals,stable,false,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/lane_profile.json,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/12_llm_fundamentals/RETRIEVAL_CARDS.jsonl
13_agent_tool_use_mcp,Agent Tool Use Mcp,fast_moving,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/lane_profile.json,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/13_agent_tool_use_mcp/RETRIEVAL_CARDS.jsonl
14_evaluation_observability,Evaluation Observability,fast_moving,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/lane_profile.json,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/14_evaluation_observability/RETRIEVAL_CARDS.jsonl
15_safety_security_red_team,Safety Security Red Team,fast_moving,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/lane_profile.json,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/15_safety_security_red_team/RETRIEVAL_CARDS.jsonl
16_governance_licensing_ethics,Governance Licensing Ethics,slow_changing,false,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/lane_profile.json,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/16_governance_licensing_ethics/RETRIEVAL_CARDS.jsonl
17_model_serving_deployment,Model Serving Deployment,volatile,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/lane_profile.json,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/17_model_serving_deployment/RETRIEVAL_CARDS.jsonl
18_mlops_llmops_release_management,Mlops Llmops Release Management,fast_moving,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/lane_profile.json,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/18_mlops_llmops_release_management/RETRIEVAL_CARDS.jsonl
19_math_for_ai_practitioners,Math For Ai Practitioners,stable,false,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/lane_profile.json,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/19_math_for_ai_practitioners/RETRIEVAL_CARDS.jsonl
20_data_engineering_for_ai,Data Engineering For Ai,slow_changing,false,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/lane_profile.json,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/20_data_engineering_for_ai/RETRIEVAL_CARDS.jsonl
21_audio_speech_music_ai,Audio Speech Music Ai,volatile,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/lane_profile.json,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/21_audio_speech_music_ai/RETRIEVAL_CARDS.jsonl
22_vision_language_ocr_document_ai,Vision Language Ocr Document Ai,volatile,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/lane_profile.json,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/22_vision_language_ocr_document_ai/RETRIEVAL_CARDS.jsonl
23_synthetic_data_dataset_creation,Synthetic Data Dataset Creation,slow_changing,false,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/lane_profile.json,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/23_synthetic_data_dataset_creation/RETRIEVAL_CARDS.jsonl
24_ai_application_architecture,Ai Application Architecture,fast_moving,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/lane_profile.json,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/24_ai_application_architecture/RETRIEVAL_CARDS.jsonl
25_hardware_cost_performance_planning,Hardware Cost Performance Planning,volatile,true,03_SOURCE_CONTENT/C_USER_EXPANDED_TOPIC_NOTES,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/lane_profile.json,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/CANONICAL_OVERVIEW.md,01_CANONICAL_RESEARCH_LANES/25_hardware_cost_performance_planning/RETRIEVAL_CARDS.jsonl
