source_id,label,url,domain,source_type,topic_family,priority,volatility,capture_status,mentioned_in_file_count,used_in_files,first_context
SRC-0016,A Gentle Introduction to Conformal Prediction — arXiv,https://arxiv.org/abs/2107.07511,arxiv.org,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_archive,1,06_sources/source_log_pass_12_statistical_learning.md,- A Gentle Introduction to Conformal Prediction — arXiv: https://arxiv.org/abs/2107.07511
SRC-0017,Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets,https://arxiv.org/abs/2201.02177,arxiv.org,paper_or_technical_report,data_quality_provenance,A_primary_anchor,low,captured_from_archive,1,06_sources/source_log_pass_10.md,- Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets: https://arxiv.org/abs/2201.02177
SRC-0018,Chinchilla / compute-optimal training,https://arxiv.org/abs/2203.15556,arxiv.org,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_archive,4,01_research_cards/067_curriculum_data_mixing_replay.md | 06_sources/source_log_pass_06.md | 06_sources/source_log_pass_10.md | 06_sources/source_log_pass_12_statistical_learning.md,- Chinchilla / compute-optimal training: https://arxiv.org/abs/2203.15556
SRC-0019,Self-Instruct paper,https://arxiv.org/abs/2212.10560,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/054_synthetic_instruction_data_distillation_self_instruct.md | 06_sources/source_log_pass_05.md,- Self-Instruct paper: https://arxiv.org/abs/2212.10560
SRC-0020,WizardLM Evol-Instruct paper,https://arxiv.org/abs/2304.12244,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/054_synthetic_instruction_data_distillation_self_instruct.md | 06_sources/source_log_pass_05.md,- WizardLM Evol-Instruct paper: https://arxiv.org/abs/2304.12244
SRC-0021,QLoRA paper,https://arxiv.org/abs/2305.14314,arxiv.org,paper_or_technical_report,peft_adapters_quantization,A_primary_anchor,low,captured_from_chat_and_archive,9,01_research_cards/029_consumer_hardware_vram_math.md | 01_research_cards/030_peft_methods_lora_qlora_dora_ia3_prefix.md | 01_research_cards/031_quantization_training_inference_map.md | 01_research_cards/062_adapter_method_decision_tree.md | 01_research_cards/064_qlora_memory_recipe_bitsandbytes.md | 01_research_cards/070_consumer_gpu_training_presets.md | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_06.md | CHAT_VISIBLE_SUMMARY,- QLoRA paper: https://arxiv.org/abs/2305.14314
SRC-0022,Sophia paper,https://arxiv.org/abs/2305.14342,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/066_optimizers_schedulers_consumer_training.md | 06_sources/source_log_pass_06.md,- Sophia paper: https://arxiv.org/abs/2305.14342
SRC-0023,DPO paper,https://arxiv.org/abs/2305.18290,arxiv.org,paper_or_technical_report,llm_post_training,A_primary_anchor,low,captured_from_archive,2,01_research_cards/032_alignment_preference_training_sft_dpo_orpo_kto_grpo.md | 06_sources/source_log_pass_03.md,- DPO paper: https://arxiv.org/abs/2305.18290
SRC-0024,AWQ paper,https://arxiv.org/abs/2306.00978,arxiv.org,paper_or_technical_report,peft_adapters_quantization,A_primary_anchor,low,captured_from_archive,5,01_research_cards/031_quantization_training_inference_map.md | 01_research_cards/078_quantization_export_gguf_gptq_awq_bitsandbytes.md | 02_tables/quantization_export_matrix_pass_07.csv | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_07.md,- AWQ paper: https://arxiv.org/abs/2306.00978
SRC-0025,RAGAS paper,https://arxiv.org/abs/2309.15217,arxiv.org,paper_or_technical_report,rag_embeddings_retrieval,A_primary_anchor,low,captured_from_archive,5,01_research_cards/033_rag_vs_finetune_decision_tree.md | 01_research_cards/036_evaluation_frameworks_lm_eval_opencompass_ragas_deepeval.md | 01_research_cards/068_retriever_training_rag_finetuning.md | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_06.md,- RAGAS paper: https://arxiv.org/abs/2309.15217
SRC-0026,rsLoRA paper,https://arxiv.org/abs/2312.03732,arxiv.org,paper_or_technical_report,peft_adapters_quantization,A_primary_anchor,low,captured_from_archive,3,01_research_cards/062_adapter_method_decision_tree.md | 01_research_cards/065_dora_rslora_practical_notes.md | 06_sources/source_log_pass_06.md,- rsLoRA paper: https://arxiv.org/abs/2312.03732
SRC-0027,KTO paper,https://arxiv.org/abs/2402.01306,arxiv.org,paper_or_technical_report,llm_post_training,A_primary_anchor,low,captured_from_archive,2,01_research_cards/032_alignment_preference_training_sft_dpo_orpo_kto_grpo.md | 06_sources/source_log_pass_03.md,- KTO paper: https://arxiv.org/abs/2402.01306
SRC-0028,DoRA paper,https://arxiv.org/abs/2402.09353,arxiv.org,paper_or_technical_report,peft_adapters_quantization,A_primary_anchor,low,captured_from_archive,5,01_research_cards/030_peft_methods_lora_qlora_dora_ia3_prefix.md | 01_research_cards/062_adapter_method_decision_tree.md | 01_research_cards/065_dora_rslora_practical_notes.md | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_06.md,- DoRA paper: https://arxiv.org/abs/2402.09353
SRC-0029,ORPO paper,https://arxiv.org/abs/2403.07691,arxiv.org,paper_or_technical_report,llm_post_training,A_primary_anchor,low,captured_from_archive,2,01_research_cards/032_alignment_preference_training_sft_dpo_orpo_kto_grpo.md | 06_sources/source_log_pass_03.md,- ORPO paper: https://arxiv.org/abs/2403.07691
SRC-0030,MergeKit paper,https://arxiv.org/abs/2403.13257,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/069_adapter_merging_deployment.md | 06_sources/source_log_pass_06.md,- MergeKit paper: https://arxiv.org/abs/2403.13257
SRC-0031,DataComp-LM,https://arxiv.org/abs/2406.11794,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/067_curriculum_data_mixing_replay.md | 06_sources/source_log_pass_06.md,- DataComp-LM: https://arxiv.org/abs/2406.11794
SRC-0032,Warmup analysis,https://arxiv.org/abs/2410.23922,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,3,01_research_cards/186_learning_rate_is_the_primary_training_control.md | 01_research_cards/187_warmup_cosine_constant_and_scheduler_choice.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- Warmup analysis: https://arxiv.org/abs/2410.23922
SRC-0033,Dynamic Tanh / Transformers without normalization,https://arxiv.org/abs/2503.10622,arxiv.org,paper_or_technical_report,optimization_training_dynamics,A_primary_anchor,low,captured_from_archive,2,01_research_cards/195_normalization_batchnorm_layernorm_rmsnorm_and_new_variants.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- Dynamic Tanh / Transformers without normalization: https://arxiv.org/abs/2503.10622
SRC-0034,MergeKit paper,https://arxiv.org/html/2403.13257v1,arxiv.org,paper_or_technical_report,general_reference,A_primary_anchor,low,captured_from_archive,2,01_research_cards/077_model_merging_mergekit_task_arithmetic.md | 06_sources/source_log_pass_07.md,- MergeKit paper: https://arxiv.org/html/2403.13257v1
SRC-0035,Axolotl site,https://axolotl.ai/,axolotl.ai,third_party_reference,llm_post_training,C_secondary_or_context,low,captured_from_archive,2,01_research_cards/017_axolotl_trl_torchtune_deep_dive.md | 06_sources/source_log_pass_02.md,- https://axolotl.ai/
SRC-0036,Black Forest Labs FLUX.2 Klein page,https://bfl.ai/models/flux-2-klein,bfl.ai,third_party_reference,diffusion_image_video_training,C_secondary_or_context,low,captured_from_archive,2,01_research_cards/085_pass_09_index.md | 06_sources/source_log_pass_09.md,- Black Forest Labs FLUX.2 Klein page: https://bfl.ai/models/flux-2-klein
SRC-0037,BGE reranker tutorial,https://bge-model.com/tutorial/5_Reranking/5.2.html,bge-model.com,third_party_reference,rag_embeddings_retrieval,C_secondary_or_context,low,captured_from_archive,2,01_research_cards/018_embedding_reranker_training_sentence_transformers_flagembedding.md | 06_sources/source_log_pass_02.md,- https://bge-model.com/tutorial/5_Reranking/5.2.html
SRC-0038,C2PA,https://c2pa.org/,c2pa.org,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,2,06_sources/source_log_pass_03.md | 07_theory_law_rules/SYNTHETIC_MEDIA_CONSENT_DISCLOSURE_PROVENANCE.md,- C2PA: https://c2pa.org/
SRC-0039,OpenAI rule-based reward safety paper,https://cdn.openai.com/rule-based-rewards-for-language-model-safety.pdf,cdn.openai.com,third_party_reference,llm_post_training,C_secondary_or_context,low,captured_from_archive,4,01_research_cards/074_rlhf_rlaif_reward_modeling_consumer_limits.md | 01_research_cards/080_safety_alignment_red_team_gates.md | 01_research_cards/083_post_training_failure_modes_reward_hacking_regression.md | 06_sources/source_log_pass_07.md,- OpenAI rule-based reward safety paper: https://cdn.openai.com/rule-based-rewards-for-language-model-safety.pdf
SRC-0040,Final GPAI Code reference,https://code-of-practice.ai/,code-of-practice.ai,law_policy_or_governance,law_governance_rights,A_primary_anchor,medium,captured_from_archive,1,06_sources/source_log_pass_04.md,- Final GPAI Code reference: https://code-of-practice.ai/
SRC-0041,Content Credentials,https://contentcredentials.org/,contentcredentials.org,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,2,06_sources/source_log_pass_03.md | 07_theory_law_rules/SYNTHETIC_MEDIA_CONSENT_DISCLOSURE_PROVENANCE.md,- Content Credentials: https://contentcredentials.org/
SRC-0042,Creative Commons generative AI explainer,https://creativecommons.org/2023/08/18/understanding-cc-licenses-and-generative-ai/,creativecommons.org,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,3,01_research_cards/026_training_law_rights_consent_baseline.md | 06_sources/source_log_pass_02.md | 07_theory_law_rules/LEGAL_RIGHTS_CONSENT_BASELINE.md,- https://creativecommons.org/2023/08/18/understanding-cc-licenses-and-generative-ai/
SRC-0043,Creative Commons AI training guidance,https://creativecommons.org/using-cc-licensed-works-for-ai-training-2/,creativecommons.org,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,4,01_research_cards/026_training_law_rights_consent_baseline.md | 02_tables/legal_risk_matrix_v0_2.csv | 06_sources/source_log_pass_02.md | 07_theory_law_rules/LEGAL_RIGHTS_CONSENT_BASELINE.md,- https://creativecommons.org/using-cc-licensed-works-for-ai-training-2/
SRC-0044,"Stanford CS229 lecture notes — supervised learning, GLMs, SVMs, learning theory, ML diagnostics",https://cs229.stanford.edu/main_notes.pdf,cs229.stanford.edu,paper_or_technical_report,ml_theory_foundations,A_primary_anchor,low,captured_from_chat_and_archive,55,01_research_cards/121_pass_11_ml_foundations_index.md | 01_research_cards/122_learning_problem_formal_frame.md | 01_research_cards/123_no_free_lunch_inductive_bias.md | 01_research_cards/124_data_representation_feature_engineering.md | 01_research_cards/125_splits_cross_validation_leakage.md | 01_research_cards/126_baselines_ablations_error_analysis.md | 01_research_cards/127_regression_losses_objectives.md | 01_research_cards/128_classification_losses_metrics_thresholds.md | 01_research_cards/129_calibration_uncertainty_confidence.md | 01_research_cards/130_imbalanced_data_sampling_cost_sensitive.md | 01_research_cards/131_regularized_linear_logistic_models.md | 01_research_cards/132_knn_distance_curse_dimensionality.md,"- Stanford CS229 lecture notes — supervised learning, GLMs, SVMs, learning theory, ML diagnostics: https://cs229.stanford.edu/main_notes.pdf"
SRC-0045,Dive into Deep Learning — code/math/context bridge for deep learning,https://d2l.ai/,d2l.ai,book_course_or_educational_reference,ml_theory_foundations,B_operational_primary,low,captured_from_archive,27,01_research_cards/121_pass_11_ml_foundations_index.md | 01_research_cards/122_learning_problem_formal_frame.md | 01_research_cards/123_no_free_lunch_inductive_bias.md | 01_research_cards/124_data_representation_feature_engineering.md | 01_research_cards/125_splits_cross_validation_leakage.md | 01_research_cards/126_baselines_ablations_error_analysis.md | 01_research_cards/127_regression_losses_objectives.md | 01_research_cards/128_classification_losses_metrics_thresholds.md | 01_research_cards/129_calibration_uncertainty_confidence.md | 01_research_cards/130_imbalanced_data_sampling_cost_sensitive.md | 01_research_cards/131_regularized_linear_logistic_models.md | 01_research_cards/132_knn_distance_curse_dimensionality.md,- Dive into Deep Learning — code/math/context bridge for deep learning: https://d2l.ai/
SRC-0046,DeepEval docs,https://deepeval.com/docs/getting-started,deepeval.com,third_party_reference,evaluation_benchmarking,C_secondary_or_context,low,captured_from_archive,2,01_research_cards/036_evaluation_frameworks_lm_eval_opencompass_ragas_deepeval.md | 06_sources/source_log_pass_03.md,- DeepEval docs: https://deepeval.com/docs/getting-started
SRC-0047,DeepMind Chinchilla blog,https://deepmind.google/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/,deepmind.google,third_party_reference,ml_theory_foundations,C_secondary_or_context,low,captured_from_archive,1,06_sources/source_log_pass_12_statistical_learning.md,- DeepMind Chinchilla blog: https://deepmind.google/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/
SRC-0048,"Google Machine Learning Crash Course — dataset splitting, overfitting, production framing",https://developers.google.com/machine-learning/crash-course,developers.google.com,book_course_or_educational_reference,data_quality_provenance,B_operational_primary,low,captured_from_archive,26,01_research_cards/121_pass_11_ml_foundations_index.md | 01_research_cards/122_learning_problem_formal_frame.md | 01_research_cards/123_no_free_lunch_inductive_bias.md | 01_research_cards/124_data_representation_feature_engineering.md | 01_research_cards/125_splits_cross_validation_leakage.md | 01_research_cards/126_baselines_ablations_error_analysis.md | 01_research_cards/127_regression_losses_objectives.md | 01_research_cards/128_classification_losses_metrics_thresholds.md | 01_research_cards/129_calibration_uncertainty_confidence.md | 01_research_cards/130_imbalanced_data_sampling_cost_sensitive.md | 01_research_cards/131_regularized_linear_logistic_models.md | 01_research_cards/132_knn_distance_curse_dimensionality.md,"- Google Machine Learning Crash Course — dataset splitting, overfitting, production framing: https://developers.google.com/machine-learning/crash-course"
SRC-0049,OpenAI eval guide,https://developers.openai.com/api/docs/guides/evals,developers.openai.com,third_party_reference,evaluation_benchmarking,C_secondary_or_context,low,captured_from_archive,3,01_research_cards/079_eval_harness_private_benchmarks.md | 01_research_cards/083_post_training_failure_modes_reward_hacking_regression.md | 06_sources/source_log_pass_07.md,- OpenAI eval guide: https://developers.openai.com/api/docs/guides/evals
SRC-0050,EU GPAI Code of Practice page,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,digital-strategy.ec.europa.eu,law_policy_or_governance,law_governance_rights,A_primary_anchor,medium,captured_from_archive,8,01_research_cards/026_training_law_rights_consent_baseline.md | 02_tables/legal_risk_matrix_v0_2.csv | 06_sources/source_log_pass_02.md | 06_sources/source_log_pass_03.md | 06_sources/source_log_pass_04.md | 07_theory_law_rules/LEGAL_RIGHTS_CONSENT_BASELINE.md | 07_theory_law_rules/SYNTHETIC_MEDIA_CONSENT_DISCLOSURE_PROVENANCE.md | 07_theory_law_rules/TRAINING_LAW_DEEP_DIVE_US_EU_BASELINE.md,- https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai
SRC-0051,EU AI Act policy page,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,digital-strategy.ec.europa.eu,law_policy_or_governance,law_governance_rights,A_primary_anchor,low,captured_from_archive,3,01_research_cards/026_training_law_rights_consent_baseline.md | 06_sources/source_log_pass_02.md | 07_theory_law_rules/LEGAL_RIGHTS_CONSENT_BASELINE.md,- https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
SRC-0052,Distilabel docs,https://distilabel.argilla.io/,distilabel.argilla.io,third_party_reference,data_quality_provenance,C_secondary_or_context,low,captured_from_archive,3,01_research_cards/054_synthetic_instruction_data_distillation_self_instruct.md | 01_research_cards/055_preference_dataset_construction_dpo_orpo_kto_rlaif.md | 06_sources/source_log_pass_05.md,- Distilabel docs: https://distilabel.argilla.io/
SRC-0053,"Distill, Why Momentum Really Works — optimization intuition",https://distill.pub/2017/momentum/,distill.pub,third_party_reference,general_reference,C_secondary_or_context,low,captured_from_archive,26,01_research_cards/121_pass_11_ml_foundations_index.md | 01_research_cards/122_learning_problem_formal_frame.md | 01_research_cards/123_no_free_lunch_inductive_bias.md | 01_research_cards/124_data_representation_feature_engineering.md | 01_research_cards/125_splits_cross_validation_leakage.md | 01_research_cards/126_baselines_ablations_error_analysis.md | 01_research_cards/127_regression_losses_objectives.md | 01_research_cards/128_classification_losses_metrics_thresholds.md | 01_research_cards/129_calibration_uncertainty_confidence.md | 01_research_cards/130_imbalanced_data_sampling_cost_sensitive.md | 01_research_cards/131_regularized_linear_logistic_models.md | 01_research_cards/132_knn_distance_curse_dimensionality.md,"- Distill, Why Momentum Really Works — optimization intuition: https://distill.pub/2017/momentum/"
SRC-0054,Axolotl dataset formats,https://docs.axolotl.ai/docs/dataset-formats/,docs.axolotl.ai,official_documentation,llm_post_training,B_operational_primary,medium,captured_from_archive,4,01_research_cards/052_llm_dataset_formats_chat_templates.md | 01_research_cards/055_preference_dataset_construction_dpo_orpo_kto_rlaif.md | 01_research_cards/058_multimodal_vlm_dataset_construction.md | 06_sources/source_log_pass_05.md,- Axolotl dataset formats: https://docs.axolotl.ai/docs/dataset-formats/
SRC-0055,Axolotl conversation/chat template docs,https://docs.axolotl.ai/docs/dataset-formats/conversation.html,docs.axolotl.ai,official_documentation,llm_post_training,B_operational_primary,medium,captured_from_archive,2,01_research_cards/052_llm_dataset_formats_chat_templates.md | 06_sources/source_log_pass_05.md,- Axolotl conversation/chat template docs: https://docs.axolotl.ai/docs/dataset-formats/conversation.html
SRC-0056,Axolotl template-free/input masking note,https://docs.axolotl.ai/docs/dataset-formats/template_free.html,docs.axolotl.ai,official_documentation,llm_post_training,B_operational_primary,medium,captured_from_archive,2,01_research_cards/052_llm_dataset_formats_chat_templates.md | 06_sources/source_log_pass_05.md,- Axolotl template-free/input masking note: https://docs.axolotl.ai/docs/dataset-formats/template_free.html
SRC-0057,cleanlab docs,https://docs.cleanlab.ai/,docs.cleanlab.ai,official_documentation,data_quality_provenance,B_operational_primary,medium,captured_from_archive,2,01_research_cards/053_data_cleaning_dedup_pii_dataset_triage.md | 06_sources/source_log_pass_05.md,- cleanlab docs: https://docs.cleanlab.ai/
SRC-0058,LTX docs,https://docs.ltx.video/,docs.ltx.video,official_documentation,diffusion_image_video_training,B_operational_primary,medium,captured_from_archive,1,01_research_cards/023_ltx_video_training_deep_dive.md,- LTX docs: https://docs.ltx.video/
SRC-0059,LTX-2 Trainer docs,https://docs.ltx.video/open-source-model/ltx-2-trainer/ltx-2-training,docs.ltx.video,official_documentation,diffusion_image_video_training,B_operational_primary,medium,captured_from_archive,5,01_research_cards/023_ltx_video_training_deep_dive.md | 01_research_cards/057_video_dataset_preparation_wan_ltx_diffusion_loras.md | 02_tables/training_tool_matrix_pass_02.csv | 06_sources/source_log_pass_02.md | 06_sources/source_log_pass_05.md,- https://docs.ltx.video/open-source-model/ltx-2-trainer/ltx-2-training
SRC-0060,Mistral/Distilabel synthetic DPO cookbook,https://docs.mistral.ai/resources/cookbooks/third_party-argilla-distilabel_synthetic_dpo_dataset,docs.mistral.ai,third_party_reference,llm_post_training,C_secondary_or_context,medium,captured_from_archive,3,01_research_cards/054_synthetic_instruction_data_distillation_self_instruct.md | 01_research_cards/055_preference_dataset_construction_dpo_orpo_kto_rlaif.md | 06_sources/source_log_pass_05.md,- Mistral/Distilabel synthetic DPO cookbook: https://docs.mistral.ai/resources/cookbooks/third_party-argilla-distilabel_synthetic_dpo_dataset
SRC-0061,NVIDIA Mixed Precision Training Guide,https://docs.nvidia.com/deeplearning/performance/mixed-precision-training/index.html,docs.nvidia.com,official_documentation,optimization_training_dynamics,B_operational_primary,medium,captured_from_archive,4,01_research_cards/191_mixed_precision_fp32_fp16_bf16_tf32.md | 01_research_cards/207_consumer_gpu_optimization_protocol.md | 01_research_cards/210_pass_14_lab_suite_make_training_dynamics_visible.md | 06_sources/PASS_14_SOURCE_ANCHORS.md,- NVIDIA Mixed Precision Training Guide: https://docs.nvidia.com/deeplearning/performance/mixed-precision-training/index.html
SRC-0062,NVIDIA NeMo Qwen2-VL guide,https://docs.nvidia.com/nemo-framework/user-guide/25.04/vlms/qwen2vl.html,docs.nvidia.com,official_documentation,vlm_multimodal,B_operational_primary,medium,captured_from_archive,2,01_research_cards/045_vlm_training_qwen_llava_bridge.md | 06_sources/source_log_pass_04.md,- https://docs.nvidia.com/nemo-framework/user-guide/25.04/vlms/qwen2vl.html
SRC-0063,PyTorch AdamW docs,https://docs.pytorch.org/docs/stable/generated/torch.optim.AdamW.html,docs.pytorch.org,official_documentation,optimization_training_dynamics,B_operational_primary,medium,captured_from_archive,4,01_research_cards/066_optimizers_schedulers_consumer_training.md | 01_research_cards/185_adam_adamw_and_adaptive_optimizers.md | 01_research_cards/188_weight_decay_l2_and_regularization_in_deep_nets.md | 06_sources/source_log_pass_06.md,- PyTorch AdamW docs: https://docs.pytorch.org/docs/stable/generated/torch.optim.AdamW.html
SRC-0064,PyTorch TensorBoard tutorial,https://docs.pytorch.org/tutorials/recipes/recipes/tensorboard_with_pytorch.html,docs.pytorch.org,official_documentation,deployment_mlops_tracking,B_operational_primary,medium,captured_from_archive,2,01_research_cards/059_training_telemetry_experiment_tracking_run_evidence.md | 06_sources/source_log_pass_05.md,- PyTorch TensorBoard tutorial: https://docs.pytorch.org/tutorials/recipes/recipes/tensorboard_with_pytorch.html
